pi,year,doi,title,title_clean
Razvan Vlaicu,2016,10.1186/s12879-016-1480-8,"Proceedings of The 8th Romanian National HIV/AIDS Congress and The 3rd Central European HIV Forum : Sibiu, Romania. 5-7 May 2016.","proceedings of the 8th romanian national hiv/aids congress and the 3rd central european hiv forum : sibiu, romania. 5-7 may 2016."
Jacob Vigdor,2008,10.1257/jep.22.4.135,the economic aftermath of hurricane katrina,the economic aftermath of hurricane katrina
David Burress,2004,10.3141/1864-12,benefit-cost analysis of state highway program as a whole: conceptualizing the null alternative,benefit-cost analysis of state highway program as a whole: conceptualizing the null alternative
Dean M Prestegaard,2001,10.1111/0017-4815.00171,theoretical and empirical considerations regarding space in hedonic housing price model applications,theoretical and empirical considerations regarding space in hedonic housing price model applications
Kimberly N Bayard,2004,10.17016/bulletin.2004.90-1-3,industrial production and capacity utilization: the 2003 annual revision,industrial production and capacity utilization: the 2003 annual revision
Deborah R Graefe,2008,10.1002/pam.20352,marriage patterns among unwed mothers: before and after prwora,marriage patterns among unwed mothers: before and after prwora
Robert W Fairlie,2020,10.1111/jems.12400,the impact of covid‐19 on small business owners: evidence from the first three months after widespread social‐distancing restrictions,the impact of covid‐19 on small business owners: evidence from the first three months after widespread social‐distancing restrictions
Marigee Bacolod,2017,10.1111/jors.12285,"skills, the gender wage gap, and cities","skills, the gender wage gap, and cities"
David Rigby,2018,10.1177/0308518x17750878,you have to (br)enter to (br)exit: the eu collaboration space,you have to (br)enter to (br)exit: the eu collaboration space
Emily Parkany,1999,10.3141/1682-06,can high-occupancy/toll lanes encourage carpooling? case study of carpooling behavior on the 91 express lanes,can high-occupancy/toll lanes encourage carpooling? case study of carpooling behavior on the 91 express lanes
Ekaterina E Emm,2011,10.1108/03074351111175083,systemic risk and competition in otc derivatives dealing: evidence from client failures,systemic risk and competition in otc derivatives dealing: evidence from client failures
Fernando V Ferreira,1994,10.2307/2275924,a feasible theory for analysis,a feasible theory for analysis
Kevin Caves,2012,10.1515/1553-3832.1911,the bottle and the border: what can america's failed experiment with alcohol prohibition in the 1920s teach us about the likely effects of anti-immigration legislation today?,the bottle and the border: what can america's failed experiment with alcohol prohibition in the 1920s teach us about the likely effects of anti-immigration legislation today?
Maritsa V Poros,2013,10.1002/9781444351071.wbeghm287,"india, migration to british africa","india, migration to british africa"
Daniel A Bens,2006,10.1111/j.1475-679x.2006.00201.x,discussion of accounting discretion in fair value estimates: an examination of sfas 142 goodwill impairments,discussion of accounting discretion in fair value estimates: an examination of sfas 142 goodwill impairments
Jesse M Rothstein,2012,10.1177/001979391206500301,the labor market four years into the crisis: assessing structural explanations,the labor market four years into the crisis: assessing structural explanations
Jagadeesh M Sivadasan,2009,10.2202/1935-1682.2161,barriers to competition and productivity: evidence from india,barriers to competition and productivity: evidence from india
Lucia S Foster,2017,10.3233/jem-180446,the annual survey of entrepreneurs,the annual survey of entrepreneurs
Adriana Perez,2025,10.3928/00989134-20250122-01,"the social security fairness act: evaluating potential impact, limitations, and implications for research, policy, and practice","the social security fairness act: evaluating potential impact, limitations, and implications for research, policy, and practice"
Allison G Harris,2019,10.3390/atoms7020044,frozen core approximation and nuclear screening effects in single electron capture collisions,frozen core approximation and nuclear screening effects in single electron capture collisions
Mercedes N Delgado,2018,10.1093/oxfordhb/9780198755609.013.19,firms in context: internal and external drivers of success,firms in context: internal and external drivers of success
Catherine A Fitch,2021,10.1107/s1600576721005288,combining a multi-analyzer stage with a two-dimensional detector for high-resolution powder x-ray diffraction: correcting the angular scale,combining a multi-analyzer stage with a two-dimensional detector for high-resolution powder x-ray diffraction: correcting the angular scale
Lars N Vilhuber,2018,10.29012/jpc.706,relaunching the journal of privacy and confidentiality,relaunching the journal of privacy and confidentiality
Joshua W Mitchell,1990,10.1017/s0034670500048270,john locke and the theological foundation of liberal toleration: a christian dialectic of history,john locke and the theological foundation of liberal toleration: a christian dialectic of history
Melissa N Scopilliti,2008,10.1353/dem.2008.0009,"immigrant residential segregation in u.s. metropolitan areas, 1990–2000","immigrant residential segregation in u.s. metropolitan areas, 1990–2000"
Xavier A Giroud,2013,10.1093/qje/qjs073,"proximity and investment: evidence from plant-level data
*","proximity and investment: evidence from plant-level data
*"
Nicholas A Bloom,2017,10.1111/1467-8462.12203,observations on uncertainty,observations on uncertainty
David J Tucker,2025,10.1111/ppe.13176,The Healthcare Needs of Children With Down Syndrome in the First Year of Life: An Analysis of the EUROlinkCAT Data Linkage Study,the healthcare needs of children with down syndrome in the first year of life: an analysis of the eurolinkcat data linkage study
Chad W Syverson,2015,10.18553/JMCP.2015.21.12.1214,Geographic Variation in Rosiglitazone Use Surrounding FDA Warnings in the Department of Veterans Affairs,geographic variation in rosiglitazone use surrounding fda warnings in the department of veterans affairs
Natarajan N Balasubramanian,2019,10.1108/S1569-376720190000020007,A bag of beads or a necklace? Combinative capability and value in technological scope expansions,a bag of beads or a necklace? combinative capability and value in technological scope expansions
John R Hipp,2023,10.1053/j.jvca.2023.05.048,Comparison of Landmark-Guided Versus Fluoroscopy-Guided Cerebrospinal Fluid Drain-Related Complications After Aortic Repairs,comparison of landmark-guided versus fluoroscopy-guided cerebrospinal fluid drain-related complications after aortic repairs
Richard D Alba,2018,10.1177/2378023118796932,What Majority-minority Society? A Critical Analysis of the Census Bureau’s Projections of America’s Demographic Future,what majority-minority society? a critical analysis of the census bureau’s projections of america’s demographic future
Martha J Bailey,2010,10.1257/aer.100.1.98,“Momma's Got the Pill”: How Anthony Comstock andGriswold v. ConnecticutShaped US Childbearing,“momma's got the pill”: how anthony comstock andgriswold v. connecticutshaped us childbearing
Maria D Fitzpatrick,2011,10.1016/j.econedurev.2010.09.004,What a difference a day makes: Estimating daily learning gains during kindergarten and first grade using a natural experiment,what a difference a day makes: estimating daily learning gains during kindergarten and first grade using a natural experiment
Narayan Sastry,2022,10.1111/rssa.12840,Switching from telephone to web‐first mixed‐mode data collection: Results from the Transition into Adulthood Supplement to the US Panel Study of Income Dynamics,switching from telephone to web‐first mixed‐mode data collection: results from the transition into adulthood supplement to the us panel study of income dynamics
Jean M Abraham,2013,10.1016/s1470-2045(13)70554-0,"Effects of the addition of gemcitabine, and paclitaxel-first sequencing, in neoadjuvant sequential epirubicin, cyclophosphamide, and paclitaxel for women with high-risk early breast cancer (Neo-tAnGo): an open-label, 2×2 factorial randomised phase 3 trial.","effects of the addition of gemcitabine, and paclitaxel-first sequencing, in neoadjuvant sequential epirubicin, cyclophosphamide, and paclitaxel for women with high-risk early breast cancer (neo-tango): an open-label, 2×2 factorial randomised phase 3 trial."
Katrin B Anacker,2024,10.1080/07352166.2024.2378652,"Queering Rehoboth Beach: Beyond the boardwalk , by James T. Sears Queering Rehoboth Beach: Beyond the boardwalk , by James T. Sears, Philadelphia, Temple University Press, 2024","queering rehoboth beach: beyond the boardwalk , by james t. sears queering rehoboth beach: beyond the boardwalk , by james t. sears, philadelphia, temple university press, 2024"
Elton Mykerezi,2016,10.1016/j.appet.2015.09.001,Serving vegetables first: A strategy to increase vegetable consumption in elementary school cafeterias,serving vegetables first: a strategy to increase vegetable consumption in elementary school cafeterias
Elton Mykerezi,2015,10.1371/journal.pone.0121283,Serving First in Isolation Increases Vegetable Intake among Elementary Schoolchildren,serving first in isolation increases vegetable intake among elementary schoolchildren
Elton Mykerezi,2014,10.1016/j.jneb.2014.04.268,Serving Vegetables First: A Strategy to Increase Vegetable Consumption in Elementary School Cafeterias,serving vegetables first: a strategy to increase vegetable consumption in elementary school cafeterias
Lilei Xu,2020,10.1096/fj.202000246rr,Angptl7 promotes insulin resistance and type 2 diabetes mellitus by multiple mechanisms including SOCS3-mediated IRS1 degradation.,angptl7 promotes insulin resistance and type 2 diabetes mellitus by multiple mechanisms including socs3-mediated irs1 degradation.
Joseph W Sakshaug,2021,10.2478/jos-2021-0042,Occupation Coding during the Interview in a Web-First Sequential Mixed-Mode Survey,occupation coding during the interview in a web-first sequential mixed-mode survey
Adam Kolasinski,2023,10.1287/mnsc.2022.4609,Ambiguity Aversion and Beating Benchmarks: Does it Create a Pattern?,ambiguity aversion and beating benchmarks: does it create a pattern?
Laurie Paarlberg,2002,10.1177/0899764002238101,Extent and Nature of Overlap between Listings of IRS Tax-Exempt Registration and Nonprofit Incorporation: The Case of Indiana,extent and nature of overlap between listings of irs tax-exempt registration and nonprofit incorporation: the case of indiana
Patrick Krueger,2014,10.1016/j.rssm.2013.09.003,Age at Childbearing over Two Generations and Grandchildren's Cognitive Achievement.,age at childbearing over two generations and grandchildren's cognitive achievement.
Michael Sykuta,2006,10.1002/agr.20069,Farmer trust in producer- and investor-owned firms: Evidence from Missouri corn and soybean producers,farmer trust in producer- and investor-owned firms: evidence from missouri corn and soybean producers
Michael Sykuta,2003,10.1111/1467-9353.00142,Contract Structure and Design in Identity-Preserved Soybean Production,contract structure and design in identity-preserved soybean production
David Agrawal,2024,10.1146/annurev-economics-081623-020713,Fiscal Federalism in the Twenty-First Century,fiscal federalism in the twenty-first century
Matthew Eisenberg,2021,10.1016/j.ajem.2021.09.081,Utility of specific laboratory biomarkers to predict severe sepsis in pediatric patients with SIRS,utility of specific laboratory biomarkers to predict severe sepsis in pediatric patients with sirs
Timothy Wojan,2016,10.1017/s1068280500009448,The Emergence of Rural Artistic Havens: A First Look,the emergence of rural artistic havens: a first look
Timothy Wojan,2007,10.1017/S1068280500009448,The emergence of rural artistic havens: A first look,the emergence of rural artistic havens: a first look
Jong Chung,2019,10.1097/mph.0000000000001214,A Palpable Back Mass as First Presenting Sign of Acute Lymphoblastic Leukemia in a Pediatric Patient,a palpable back mass as first presenting sign of acute lymphoblastic leukemia in a pediatric patient
Lingxin x Hao,2007,10.1007/s11113-007-9029-6,Effects of child support and welfare policies on nonmarital teenage childbearing and motherhood,effects of child support and welfare policies on nonmarital teenage childbearing and motherhood
Naoka Carey,2023,10.1080/10511482.2023.2218840,"Shelter From the Storm: State Eviction Moratoria, Implementation Context, and Eviction Filings During the First Two Years of the COVID-19 Pandemic","shelter from the storm: state eviction moratoria, implementation context, and eviction filings during the first two years of the covid-19 pandemic"
Mathew V Kiang,2021,10.1371/journal.pone.0244819,"The Impact of the first COVID-19 shelter-in-place announcement on social distancing, difficulty in daily activities, and levels of concern in the San Francisco Bay Area: A cross-sectional social media survey","the impact of the first covid-19 shelter-in-place announcement on social distancing, difficulty in daily activities, and levels of concern in the san francisco bay area: a cross-sectional social media survey"
J Bradford Jensen,2010,10.1257/aer.100.2.444,Intrafirm Trade and Product Contractibility,intrafirm trade and product contractibility
J Bradford Jensen,2014,10.1093/aobpla/plu067,Light-dark O2 dynamics in submerged leaves of C3 and C4 halophytes under increased dissolved CO2: clues for saltmarsh response to climate change,light-dark o2 dynamics in submerged leaves of c3 and c4 halophytes under increased dissolved co2: clues for saltmarsh response to climate change
J Bradford Jensen,2014,10.1007/s11214-014-0034-x,"Design, Development, Implementation, and On-orbit Performance of the Dynamic Ionosphere CubeSat Experiment Mission","design, development, implementation, and on-orbit performance of the dynamic ionosphere cubesat experiment mission"
J Bradford Jensen,2015,10.1186/s13068-015-0372-2,Hydroxyl radical-aided thermal pretreatment of algal biomass for enhanced biodegradability,hydroxyl radical-aided thermal pretreatment of algal biomass for enhanced biodegradability
J Bradford Jensen,2011,10.1371/journal.pone.0016286,"The Development of Metabolomic Sampling Procedures for Pichia pastoris, and Baseline Metabolome Data","the development of metabolomic sampling procedures for pichia pastoris, and baseline metabolome data"
J Bradford Jensen,2018,10.1038/s41598-018-21799-8,Glial cell type-specific changes in spinal dipeptidyl peptidase 4 expression and  effects of its inhibitors in inflammatory and neuropatic pain,glial cell type-specific changes in spinal dipeptidyl peptidase 4 expression and  effects of its inhibitors in inflammatory and neuropatic pain
J Bradford Jensen,2015,10.1186/s12860-015-0064-6,In vitro analysis of the effects on wound healing of high- and low-molecular weight chains of hyaluronan and their hybrid H-HA/L-HA complexes,in vitro analysis of the effects on wound healing of high- and low-molecular weight chains of hyaluronan and their hybrid h-ha/l-ha complexes
J Bradford Jensen,2008,10.1371/journal.pone.0003756,Ser649 and Ser650 Are the Major Determinants of Protein Kinase A-Mediated Activation of Human Hormone-Sensitive Lipase against Lipid Substrates,ser649 and ser650 are the major determinants of protein kinase a-mediated activation of human hormone-sensitive lipase against lipid substrates
J Bradford Jensen,2009,10.1186/1472-6947-9-7,"Publication trends in the medical informatics literature: 20 years of ""Medical Informatics"" in MeSH","publication trends in the medical informatics literature: 20 years of ""medical informatics"" in mesh"
J Bradford Jensen,2012,10.1371/journal.pone.0031324,GO-PROMTO Illuminates Protein Membrane Topologies of Glycan Biosynthetic Enzymes in the Golgi Apparatus of Living Tissues,go-promto illuminates protein membrane topologies of glycan biosynthetic enzymes in the golgi apparatus of living tissues
J Bradford Jensen,2009,10.1007/s12640-009-9067-4,The Role of Zinc in the Modulation of Neuronal Proliferation and Apoptosis,the role of zinc in the modulation of neuronal proliferation and apoptosis
J Bradford Jensen,2015,10.1371/journal.pone.0139981,Circulating microRNAs in sera correlate with soluble biomarkers of immune activation but do not predict mortality in ART treated individuals with HIV-1 infection: A case control study,circulating micrornas in sera correlate with soluble biomarkers of immune activation but do not predict mortality in art treated individuals with hiv-1 infection: a case control study
J Bradford Jensen,2011,10.1371/journal.pntd.0001331,Scabies Mite Peritrophins Are Potential Targets of Human Host Innate Immunity,scabies mite peritrophins are potential targets of human host innate immunity
J Bradford Jensen,2012,10.2139/ssrn.1692742,Payout Taxes and the Allocation of Investment,payout taxes and the allocation of investment
J Bradford Jensen,2010,10.2139/ssrn.1659700,Extrinsic Rewards and Intrinsic Motives: Standard and Behavioral Approaches to Agency and Labor Markets,extrinsic rewards and intrinsic motives: standard and behavioral approaches to agency and labor markets
J Bradford Jensen,2014,10.1016/s0140-6736(14)60844-8,"Global, regional, and national incidence and mortality for HIV, tuberculosis, and malaria during 1990–2013: a systematic analysis for the Global Burden of Disease Study 2013","global, regional, and national incidence and mortality for hiv, tuberculosis, and malaria during 1990–2013: a systematic analysis for the global burden of disease study 2013"
J Bradford Jensen,2022,10.1186/s13059-022-02837-1,"Implicating genes, pleiotropy, and sexual dimorphism at blood lipid loci through multi-ancestry meta-analysis","implicating genes, pleiotropy, and sexual dimorphism at blood lipid loci through multi-ancestry meta-analysis"
J Bradford Jensen,2016,10.17615/2rcm-vp54,Clinical Sequencing Exploratory Research Consortium: Accelerating Evidence-Based Practice of Genomic Medicine,clinical sequencing exploratory research consortium: accelerating evidence-based practice of genomic medicine
J Bradford Jensen,2010,10.2139/ssrn.1722369,Workers’ Views of the Impact of Trade on Jobs,workers’ views of the impact of trade on jobs
J Bradford Jensen,2016,10.1371/journal.pone.0158195,Gene-Expression Profiling Suggests Impaired Signaling via the Interferon Pathway in Cstb(-/-) Microglia,gene-expression profiling suggests impaired signaling via the interferon pathway in cstb(-/-) microglia
J Bradford Jensen,2015,10.2139/ssrn.2669356,Owner-Level Taxes and Business Activity,owner-level taxes and business activity
J Bradford Jensen,2015,10.1371/journal.pmed.1001809,Development and Validation of a Risk Score for Chronic Kidney Disease in HIV Infection Using Prospective Cohort Data from the D:A:D Study,development and validation of a risk score for chronic kidney disease in hiv infection using prospective cohort data from the d:a:d study
J Bradford Jensen,2022,10.1016/j.ajhg.2022.06.012,A multi-layer functional genomic analysis to understand noncoding genetic variation in lipids,a multi-layer functional genomic analysis to understand noncoding genetic variation in lipids
J Bradford Jensen,2022,10.1038/s41586-022-05275-y,A saturated map of common genetic variants associated with human height.,a saturated map of common genetic variants associated with human height.
J Bradford Jensen,2022,10.1038/s41586-022-05165-3,Stroke genetics informs drug discovery and risk prediction across ancestries,stroke genetics informs drug discovery and risk prediction across ancestries
J Bradford Jensen,2016,10.1016/s0140-6736(16)31012-1,"Global, regional, and national life expectancy, all-cause mortality, and cause-specific mortality for 249 causes of death, 1980-2015 : a systematic analysis for the Global Burden of Disease Study 2015","global, regional, and national life expectancy, all-cause mortality, and cause-specific mortality for 249 causes of death, 1980-2015 : a systematic analysis for the global burden of disease study 2015"
Yoonsoo Lee,2010,10.2139/ssrn.1836699,"Cross–Sectoral Variation in Firm–Level
Idiosyncratic Risk","cross–sectoral variation in firm–level
idiosyncratic risk"
Yoonsoo Lee,2018,10.5772/intechopen.75783,"Ultrafast Intramolecular Proton Transfer Reaction of 1,2- Dihydroxyanthraquinone in the Excited State","ultrafast intramolecular proton transfer reaction of 1,2- dihydroxyanthraquinone in the excited state"
Yoonsoo Lee,2020,10.1002/admi.201902170,A Facile Fabrication and Transfer Method of Vertically Aligned Carbon Nanotubes on a Mo/Ni Bilayer for Wearable Energy Devices,a facile fabrication and transfer method of vertically aligned carbon nanotubes on a mo/ni bilayer for wearable energy devices
Yoonsoo Lee,2016,10.2139/ssrn.2778532,The Impact of Project-Based Learning on Teacher Self-Efficacy,the impact of project-based learning on teacher self-efficacy
Yoonsoo Lee,2012,10.2139/ssrn.2186116,An Analysis of the Employment Effects of the Washington High Technology Business and Occupation (B&O) Tax Credit: Technical Report,an analysis of the employment effects of the washington high technology business and occupation (b&o) tax credit: technical report
Yoonsoo Lee,2012,10.7282/t3q52ndb,Physical chemistry of ionic liquids: structure and photochemical reactions,physical chemistry of ionic liquids: structure and photochemical reactions
Yoonsoo Lee,2012,10.1088/0022-3727/46/2/024006,Improvement of light-harvesting efficiency in dye-sensitized solar cells using silica beads embedded in a TiO2 nanoporous structure,improvement of light-harvesting efficiency in dye-sensitized solar cells using silica beads embedded in a tio2 nanoporous structure
Judith K Hellerstein,2013,10.3386/w19367,Perverse Reverse Price Competition: Average Wholesale Prices and Medicaid Pharmaceutical Spending,perverse reverse price competition: average wholesale prices and medicaid pharmaceutical spending
Judith K Hellerstein,2012,10.2139/ssrn.2341103,Do labor market networks have an important spatial dimension?,do labor market networks have an important spatial dimension?
Judith K Hellerstein,2020,10.1111/jors.12508,Social Capital Determinants and Labor Market Networks,social capital determinants and labor market networks
Judith K Hellerstein,2009,10.2139/ssrn.1494866,Competition and Gender Prejudice: Are Discriminatory Employers Doomed to Fail?,competition and gender prejudice: are discriminatory employers doomed to fail?
Judith K Hellerstein,2011,10.2139/ssrn.1714994,"Productivity, Wages, and Marriage: The Case of Major League Baseball","productivity, wages, and marriage: the case of major league baseball"
Judith K Hellerstein,2014,10.2139/ssrn.2399436,Dividing the Pie: The Determinants of Labor's Share of Income on the Firm Level,dividing the pie: the determinants of labor's share of income on the firm level
Judith K Hellerstein,2014,10.2139/ssrn.2523426,It's Where You Work: Increases in Earnings Dispersion Across Establishments and Individuals in the U.S.,it's where you work: increases in earnings dispersion across establishments and individuals in the u.s.
Judith K Hellerstein,2012,10.2139/ssrn.2183305,"FDI and Wages: Evidence from Firm-Level and Linked Employer-Employee Data in Hungary, 1986-2008","fdi and wages: evidence from firm-level and linked employer-employee data in hungary, 1986-2008"
Pinar Celikkol Geylani,2011,10.1080/00036841003636326,Productivity growth patterns in US dairy products manufacturing plants,productivity growth patterns in us dairy products manufacturing plants
