title,doi,abstract,year,publication_date,cited_by_count,authors,affiliations,topics,source_display_name,type_crossref,researcher,author_id,queried_dataset_terms,matched_dataset_terms,location
Public-Use vs. Restricted-Use: An Analysis Using the American Community Survey,https://doi.org/10.29012/jpc.661,"Statistical agencies frequently publish microdata that have been altered to protect condentiality. Such data retain utility for many types of broad analyses but can yield biased or insufficiently precise results in others. Research access to de-identied versions of the restricted-use data with little or no alteration is often possible, albeit costly and time-consuming. We investigate the advantages and disadvantages of public-use and restricted-use data from the American Community Survey (ACS) in constructing a wage index. The public-use data used were Public Use Microdata Samples, while the restricted-use data were accessed via a Federal Statistical Research Data Center. We discuss the advantages and disadvantages of each data source and compare estimated CWIs and standard errors at the state and labor market levels. We find the results from the publicly available data are generally good relative to the restricted-use data, with greater similarity for larger areas and less similarity for smaller areas. Standard errors are higher in the public-used data but may still be underestimated.",2018,2018-12-24,1,"{'Alan F. Karr', 'Satkartar K. Kinney'}",RTI International; RTI International,Healthcare Policy and Management; Survey Methodology and Nonresponse; Advanced Causal Inference Techniques,Journal of Privacy and Confidentiality,article,Alan F Karr,https://openalex.org/A5052821984,American Community Survey; FSRDC; Census Bureau; Triangle RDC,American Community Survey,Triangle
Simultaneous Edit-Imputation for Continuous Microdata,https://doi.org/10.1080/01621459.2015.1040881,"Hang J. Kim, Lawrence H. Cox, Alan F. Karr, Jerome P. Reiter & Quanli WangHang J. Kim is Assistant Professor, Department of Mathematical Sciences, University of Cincinnati, Cincinnati, OH 45221, formerly Postdoctoral Associate, Department of Statistical Science, Duke University, Durham, NC 27708, and National Institute of Statistical Sciences, Research Triangle Park, NC 27709 (E-mail: hang.kim0@uc.edu). Lawrence H. Cox is Assistant Director for Official Statistics, National Institute of Statistical Sciences, Research Triangle Park, NC 27709 (E-mail: cox@niss.org). Alan F. Karr is Director, Center of Excellence for Complex Data Analysis, RTI International, Research Triangle Park, NC 27709 (E-mail: karr@rti.org). Jerome P. Reiter (E-mail: jerry@stat.duke.edu) is Mrs. Alexander Hehmeyer Professor and Quanli Wang (E-mail: quanli@stat.duke.edu) is Associate in Research, Department of Statistical Science, Duke University, Durham, NC 27708. This research was supported by the National Science Foundation (SES-11-31897). Any opinions and conclusions expressed herein are those of the authors and do not necessarily represent the views of the U.S. Census Bureau or the National Science Foundation. All results have been reviewed to ensure that no confidential information is disclosed.",2015,2015-06-24,25,"{'Quanli Wang', 'Jerome P. Reiter', 'Alan F. Karr', 'Lawrence H. Cox', 'Hang J. Kim'}",,Bayesian Methods and Mixture Models; Statistical Methods and Bayesian Inference; Statistical Methods and Inference,Journal of the American Statistical Association,article,Alan F Karr,https://openalex.org/A5052821984,American Community Survey; FSRDC; Census Bureau; Triangle RDC,Census Bureau,Triangle
Universal Mechanism to Link Multiple Datasets with Synthetic Populations for Clinical and Epidemiological Research,https://doi.org/10.21203/rs.3.rs-456335/v1,"Abstract Many modern predictive models require knowledge acquired from multiple datasets, yet data linkage can be a substantial challenge. Datasets exist in a wide variety of formats and linking them directly is often infeasible or restricted by privacy requirements. One solution is to map variables from different datasets onto a synthetic population, producing a dataset that contains information from multiple sources sufficient for reliable statistical inference with quantifiable uncertainty. This approach is universal because it is applicable to a broad range of datasets and has good potential for privacy protection.We consider datasets with information about individuals and describe three methods for building linked synthetic data: resampling, modeling predictors independently, and modeling predictors sequentially. We apply these methods to the prediction of the prevalence of Florida youth vaping by state, county, and census tract using the 2018 Florida Youth Substance Abuse Survey (FYSAS) and the 5-Year American Community Survey (ACS). We find that resampling and sequential modeling most closely approximate the 2018 survey results, and that the sequential model captures more variability. We find that the order of predicting the variables in sequential modeling does not substantially impact the outcome.",2021,2021-05-06,0,"{'Alan F. Karr', 'Emily Hadley', 'Caroline Kery', 'James Rineer', 'Georgiy Bobashev'}",RTI International; RTI International; RTI International; RTI International; RTI International,demographic modeling and climate adaptation; Health disparities and outcomes; Substance Abuse Treatment and Outcomes,Research Square (Research Square),preprint,Alan F Karr,https://openalex.org/A5052821984,American Community Survey; FSRDC; Census Bureau; Triangle RDC,American Community Survey,Triangle
Predictors of Autism Spectrum Disorder and ADHD: Results from the National Survey of Children's Health,https://doi.org/10.1016/j.dhjo.2023.101512,"Autism spectrum disorder (ASD) and Attention-Deficit/Hyperactivity Disorder (ADHD) are two of the most common neurodevelopmental disorders with comorbidity rates of up to 70%. Population-based studies show differential rates of ADHD and ASD diagnosis based on sociodemographic variables. However, no studies to date have examined the role of sociodemographic factors on the likelihood of receiving an ADHD, ASD, or comorbid ASD+ADHD diagnosis in a large, nationally representative sample. This study aims to examine the impact of sociodemographic factors on the odds of experiencing ASD-only, ADHD-only, or both diagnoses for children in the United States. Using a mixed effects multinomial logistic modeling approach and data from the 2016-2018 National Survey of Children's Health, we estimated the association between sociodemographic variables and the log odds of being in each diagnostic group. Sociodemographic variables were differentially related to the three diagnostic groups: ASD-only, ADHD-only, and ASD+ADHD. Compared to girls, boys experienced higher odds of all three diagnosis categories. White children had higher odds of having an ADHD-only or ASD+ADHD diagnosis compared to Non-Hispanic (NH) Black, NH multiple/other race, and Hispanic children. Odds ratios for levels of parent education, household income, and birth characteristics showed varying trends across diagnostic groups. Overall, our findings point to unique sets of risk factors differentially associated ASD and ADHD, with lower income standing out as an important factor associated with receiving a diagnosis of ASD+ADHD.",2023,2023-08-02,10,"{'Jessica Bradshaw', 'Jan M. Eberth', 'Anja Zgodic', 'Kate Flory', 'Rachel M. Hantman', 'Alexis Federico', 'Alexander C. McLain'}",University of South Carolina; University of South Carolina; University of South Carolina; University of South Carolina; Drexel University; University of South Carolina; University of South Carolina; University of South Carolina,Attention Deficit Hyperactivity Disorder; Autism Spectrum Disorder Research; Infant Development and Preterm Care,Disability and health journal,article,Alexander C McLain,https://openalex.org/A5051069727,FSRDC; National Survey of Children's Health; Census Bureau; Triangle RDC,National Survey of Children's Health,Triangle
Examining the association between rurality and positive childhood experiences among a national sample,https://doi.org/10.1111/jrh.12708,"Abstract Purpose The present study examines the association between rurality and positive childhood experiences (PCEs) among children and adolescents across all 50 states and the District of Columbia. Recent work has quantified the prevalence of PCEs at the national level, but these studies have been based on public use data files, which lack rurality information for 19 states. Methods Data for this cross‐sectional analysis were drawn from 2016 to 2018 National Survey of Children's Health (NSCH), using the full data set with restricted geographic data (n = 63,000). Descriptive statistics and bivariate analyses were used to calculate proportions and unadjusted associations. Multivariable regression models were used to examine the association between residence and the PCEs that were significant in the bivariate analyses. Findings Rural children were more likely than urban children to be reported as having PCEs: volunteering in their community (aOR 1.29; 95% CI 1.18‐1.42), having a guiding mentor (aOR 1.75; 95% CI 1.45‐2.10), residing in a safe neighborhood (aOR 1.97; 95% CI 1.54‐2.53), and residing in a supportive neighborhood (aOR 1.10; 95% CI 1.01‐1.20) than urban children. Conclusions The assessment of rural‐urban differences in PCEs using the full NSCH is a unique opportunity to quantify exposure to PCEs. Given the higher baseline rate of PCEs in rural than urban children, programs to increase opportunities for PCEs in urban communities are warranted. Future research should delve further into whether these PCEs translate to better mental health outcomes in rural children.",2022,2022-08-27,8,"{'Janice C. Probst', 'Melinda A. Merrell', 'Jan M. Eberth', 'Elizabeth Crouch', 'Sylvia Shi', 'Monique J. Brown', 'Kevin J. Bennett', 'Alexander C. McLain'}",University of South Carolina; University of South Carolina; University of South Carolina; University of South Carolina; University of South Carolina; University of South Carolina; University of South Carolina; University of South Carolina,Homelessness and Social Issues; Child Abuse and Trauma; Early Childhood Education and Development,The Journal of Rural Health,article,Alexander C McLain,https://openalex.org/A5051069727,FSRDC; National Survey of Children's Health; Census Bureau; Triangle RDC,National Survey of Children's Health,Triangle
Changes in the Incidence and Duration of Periods without Insurance,https://doi.org/10.1056/nejmsa0804668,"Policymakers have recently proposed ways of providing health care coverage for an increased number of uninsured persons. However, there are few data that show how the incidence and duration of periods in which persons do not have insurance have changed over time.We used two data sets from the Survey of Income and Program Participation of the U.S. Census Bureau: one that covered the period from 1983 through 1986 (25,946 persons), and another that covered the period from 2001 through 2004 (40,282 persons). For each set of years, we estimated the probability that a person would be uninsured for some period of time and the probability that a person would subsequently obtain private or public insurance. We also estimated the probabilities that persons in various demographic groups would become uninsured over the course of a year and would remain uninsured for various amounts of time.The percentage of the population that lost insurance in a 12-month period increased from 19.8% in 1983-1986 to 21.8% in 2001-2004 (P=0.04). The percentage that was uninsured for a period of time increased markedly among persons with the lowest educational level and predominantly represented loss of private coverage. The percentage of new uninsured periods that ended within 24 months increased from 73.8% to 79.7% between the two study periods (P<0.001); increases were seen in all age groups and among persons of all educational levels. Transition from no insurance to private insurance decreased from 65.2% to 59.2% (P<0.001). Transition from no insurance to public insurance increased from 8.7% to 20.4% (P<0.001).As compared with the years from 1983 through 1986, from 2001 through 2004, more people, particularly those with the lowest educational level, had periods in which they were not insured. The periods without insurance were shorter in 2001-2004 than they were in 1983-1986, since an increase in transitions to public coverage offset a reduction in transitions to private coverage. Our results portend difficulties if private coverage continues to decline and is not offset by further expansions of public insurance.",2009,2009-04-22,37,"{'David Cutler', 'Alexander Gelber'}",Harvard University; National Bureau of Economic Research,Healthcare Policy and Management; Global Health Care Issues; Primary Care and Health Outcomes,New England Journal of Medicine,article,Alexander M Gelber,https://openalex.org/A5091116830,Census Bureau,Census Bureau,Boston
Changes in the Incidence and Duration of Periods Without Insurance,,"BACKGROUND: Policymakers have recently proposed ways of providing health care coverage for an increased number of uninsured persons. However, there are few data that show how the incidence and duration of periods in which persons do not have insurance have changed over time. METHODS: We used two data sets from the Survey of Income and Program Participation of the U.S. Census Bureau: one that covered the period from 1983 through 1986 (25,946 persons), and another that covered the period from 2001 through 2004 (40,282 persons). For each set of years, we estimated the probability that a person would be uninsured for some period of time and the probability that a person would subsequently obtain private or public insurance. We also estimated the probabilities that persons in various demographic groups would become uninsured over the course of a year and would remain uninsured for various amounts of time. RESULTS: The percentage of the population that lost insurance in a 12-month period increased from 19.8% in 1983-1986 to 21.8% in 2001-2004 (P=0.04). The percentage that was uninsured for a period of time increased markedly among persons with the lowest educational level and predominantly represented loss of private coverage. The percentage of new uninsured periods that ended within 24 months increased from 73.8% to 79.7% between the two study periods (P",2009,2009-01-01,0,"{'David Cutler', 'Alexander Gelber'}",,Healthcare Policy and Management; Global Health Care Issues; Primary Care and Health Outcomes,RePEc: Research Papers in Economics,preprint,Alexander M Gelber,https://openalex.org/A5091116830,Census Bureau,Census Bureau,Boston
Changes in the Incidence and Duration of Periods Without Insurance,,"Background: Policymakers have recently proposed ways of providing health care coverage for an increased number of uninsured persons. However, there are few data that show how the incidence and duration of periods in which persons do not have insurance have changed over time. Methods: We used two data sets from the Survey of Income and Program Participation of the U.S. Census Bureau: one that covered the period from 1983 through 1986 (25,946 persons), and another that covered the period from 2001 through 2004 (40,282 persons). For each set of years, we estimated the probability that a person would be uninsured for some period of time and the probability that a person would subsequently obtain private or public insurance. We also estimated the probabilities that persons in various demographic groups would become uninsured over the course of a year and would remain uninsured for various amounts of time. Results: The percentage of the population that lost insurance in a 12-month period increased from 19.8% in 1983-1986 to 21.8% in 2001-2004 (P=0.04). The percentage that was uninsured for a period of time increased markedly among persons with the lowest educational level and predominantly represented loss of private coverage. The percentage of new uninsured periods that ended within 24 months increased from 73.8% to 79.7% between the two study periods (P Conclusions: As compared with the years from 1983 through 1986, from 2001 through 2004, more people, particularly those with the lowest educational level, had periods in which they were not insured. The periods without insurance were shorter in 2001-2004 than they were in 1983-1986, since an increase in transitions to public coverage offset a reduction in transitions to private coverage. Our results portend difficulties if private coverage continues to decline and is not offset by further expansions of public insurance.",2009,2009-04-28,0,"{'David Cutler', 'Alexander Gelber'}",Harvard University; National Bureau of Economic Research; National Bureau of Economic Research; University of Pennsylvania,Healthcare Policy and Management; Global Health Care Issues; Food Security and Health in Diverse Populations,,article,Alexander M Gelber,https://openalex.org/A5091116830,Census Bureau,Census Bureau,Boston
Health-Related Research Using Confidential U.S. Census Bureau Data,https://doi.org/10.2139/ssrn.1440932,"Economic studies on health-related issues have the potential to benefit all Americans. The approaches for dealing with the growth of health care costs and health insurance coverage are ever changing and information is needed on their efficacy. Research on health-related topics has been conducted for about a decade at the Census Bureau’s Center for Economic Studies and the Research Data Centers. This paper begins by describing the confidential business and demographic Census Bureau data products used in this research. The discussion continues with summaries of nearly 30 papers, including how this work has benefited the Census Bureau and its research findings. Some focus on data linkages and assessing data quality, while others address important questions in the employer, public, and individual insurance markets. This research could not have been accomplished with public-use data. The newly available data from the Agency for Healthcare Research and Quality and National Center for Health Statistics, as well as additional Census Bureau data now available in the Research Data Centers are also discussed.",2008,2008-01-01,1,"{'Rosemary Hyson', 'Alice Zawacki'}",United States Census Bureau; United States Census Bureau,Healthcare Policy and Management; Global Health Care Issues; Primary Care and Health Outcomes,SSRN Electronic Journal,article,Alice Zawacki,https://openalex.org/A5033043375,Supplementary Public Data - Geographic Codes; Service Annual Survey; Census Bureau,Census Bureau,Philadelphia
Contributions to Health Insurance Premiums: When Does the Employer Pay 100 Percent?,,"ABSTRACT We identify the characteristics of establishments that paid 100 percent of health insurance premiums and the policies they offered from 1997-2001, despite increased premium costs. Analyzing data from the MEPS-IC, we see little change in the percent of establishments that paid the full cost of premiums for employees. Most of these establishments were young, small, single-units, with a relatively high paid workforce. Plans that were fully paid generally required referrals to see specialists, did not cover pre-existing conditions or outpatient prescriptions, and had the highest out-of-pocket expense limits. These plans also were more likely than plans not fully paid by employers to have had a fee-for-service or exclusive provider arrangement, had the highest premiums, and were less likely to be self-insured. Alice M. Zawacki Economist U.S. Census Bureau Center for Economic Studies 4700 Silver Hill Road, Stop 6300 Washington, DC 20233-6300 Alice.M.Zawacki@census.gov Amy K. Taylor Senior Economist Division of Social and Economic Research Center for Financing, Access, and Cost Trends Agency for Healthcare Research and Quality 540 Gaither Road Rockville, MD 20850 E-mail: ataylor@ahrq.gov 2",2005,2005-12-01,10,"{'Alice Zawacki', 'Amy K. Taylor'}",,Healthcare Policy and Management; Global Health Care Issues; Primary Care and Health Outcomes,RePEc: Research Papers in Economics,preprint,Alice Zawacki,https://openalex.org/A5033043375,Supplementary Public Data - Geographic Codes; Service Annual Survey; Census Bureau,Census Bureau,Philadelphia
