Unnamed: 0,Title,RDC,Start Year,End Year,PI,Abstract,FSRDC Evidence,# of Papers,# of FSRDC-Relevant Papers,Has FSRDC Evidence?,doi,openalex_id,publication_year,host_organization_name,is_published,type_crossref,author,cited_by_count,primary_topic,field,updated_date,orcid_id,author_affiliation,author_address_locality,author_address_region,author_address_country,Data_Source,Agency,Keywords,Record_ID
46,survey data on capacity utilization and plant work patterns in u.s. manufacturing,Washington,2001,2004.0,Kimberly N Bayard,"Data collected by the Census Bureau's Survey of Plant Capacity form the basis of capacity utilization statistics published in the Federal Reserve's G17 Statistical Release. Despite important changes in the survey's sample design and questionnaire in the 1990s, there has been little assessment of the effects of these changes on data quality, nor has there been any analysis of questions added to the survey on plants' work patterns. The main purposes of this project will be to (a) investigate the quality of the survey data, (b) develop additional descriptive analyses of plant utilization and work patterns, especially using the new unpublished data, and (c) use the data to characterize relationships between capacity utilization, capital utilization (the ""workweek of capital""), and capital investment in U.S. manufacturing plants. ",True,6.0,0.0,False,https://doi.org/10.1177/001979399504800201,https://openalex.org/W2110162191,1995.0,SAGE Publishing,False,journal-article,John Paul MacDuffie,3681.0,Innovation and Knowledge Management,"Business, Management and Accounting",2025-03-17T01:38:22.158299,0000-0001-7934-7178,,,,,Step 2 Enriched Scraping + API,,,Step 2 Original_46
47,community variation in victim crime reporting: a multilevel analysis using data from the area-identified ncvs,Chicago,2001,2003.0,Eric P Baumer,"Although it has been well documented that a substantial portion of all crime experienced by citizens in the U.S. is not reported to the police, very few studies have systematically examined whether residents of certain types of communities are more, or less, likely to report crime victimizations to the police. This issue has not been addressed extensively largely because the data needed to do so—data on victims of crime and on the communities in which they reside—traditionally have not been available to researchers. If approved by the Census Bureau, the proposed research will use data from the 1995-2001 Area-Identified National Crime Victimization Survey (NCVS), linked with data from the Sample Survey of Law Enforcement Agencies (SSLEA), the Uniform Crime Reporting (UCR) program, and census data on tracts and places to investigate the effects of several characteristics of communities on the likelihood of police notification by crime victims. The community characteristics considered will include neighborhood features such as socioeconomic disadvantage, minority concentration, immigrant concentration, and residential instability, and place-level indicators such as the degree of local police involvement in community policing activities and the racial composition of the local police agency. The proposed research contributes significantly to the literature on victim crime reporting, and the analyses have important implications for macro-level research and theory tests which often assume little or no systematic variation in crime reporting across communities. In addition, the research will benefit the Census Bureau by adding contextual data to the NCVS, evaluating and improving the usefulness of the NCVS, using methodologies (e.g., survey regression techniques, multilevel modeling) that will enhance understanding of these data, and highlighting the value of the NCVS for cutting-edge theoretical and relevant research.",True,,,,https://doi.org/10.1086/449253,https://openalex.org/W2080643893,1997.0,University of Chicago Press,False,journal-article,Robert J. Sampson,494.0,Crime Patterns and Interventions,Social Sciences,2025-03-27T04:44:52.021486,0000-0001-5084-6221,,,,,Step 2 Enriched Scraping + API,,,Step 2 Original_47
48,how do u.s. firms adjust to chinese import competition?,Baruch,2018,2024.0,Xavier A Giroud,"China’s accession to the World Trade Organization in 2001 has led to a surge in U.S. imports from China and a decline in U.S. manufacturing employment in industries affected by Chinese import competition. While the implications of this “China Shock” for the U.S. manufacturing sector are well documented, little is known about how U.S. firms—the entities that own plants and employ workers—adjust to the China Shock. Do firms reallocate resources away from affected plants and toward plants in less affected industries? Or do they shift resources towards affected plants, allowing them to compete more effectively against Chinese imports? And what explains the direction and magnitude of the resource reallocation? This research will address these questions by using establishment-level microdata from the Longitudinal Business Database, Census of Manufactures, and Annual Survey of Manufactures, and worker-level data from the Longitudinal Employer-Household Dynamics program.",True,,,,https://doi.org/10.1257/aer.103.6.2121,https://openalex.org/W2097916756,2013.0,American Economic Association,True,journal-article,David Autor,3352.0,Global trade and economics,"Economics, Econometrics and Finance",2025-03-30T05:14:52.285360,,,,,,Step 2 Enriched Scraping + API,,,Step 2 Original_48
49,the impact of foreign trade on the u.s. economy,Boston,2001,2004.0,J Bradford Jensen,"The project will proceed in three phases. The first will enhance the export and import information on Economic Censuses and Surveys. We will develop and test linkages between transaction level Foreign Trade data and Economic Census and Survey data and compare the links developed by CES to those developed by the Census Bureau’s Foreign Trade Division (FTD). If improvements in linkages methods are identified, we will provide advice to FTD. The second phase will analyze transaction level detail to examine changes in foreign trade transactions, focusing initially on related party transactions, potential underreporting, and impact of FTD outreach efforts. This component of the project will focus on identifying reasons for such changes. The third phase of the project will develop empirical and analytical framework to investigate the impact of trade on the U.S. economy - focusing on how firms allocate economic activity between domestic and foreign production and the impact of this on the domestic economy (including workers and regional economies). This component makes use of the data developed in the previous phases to develop new estimates of the impact of foreign trade on U.S. industries. It will examine how imports and exports affect domestic production, employment, and productivity. It will also examine how firm responses to trade affect local labor market outcomes.",True,,,,https://doi.org/10.1002/smj.4250150602,https://openalex.org/W2004508795,1994.0,Wiley,False,journal-article,Jean‐François Hennart,307.0,International Business and FDI,"Business, Management and Accounting",2025-03-23T02:22:12.254095,0000-0001-6737-8620,Tilburg University,Tilburg,,NL,Step 2 Enriched Scraping + API,,,Step 2 Original_49
53,capital  adjustment and productivity patterns of plants and firms in the u.s. food and kindred products industry,Michigan,2003,2005.0,Pinar Celikkol Geylani,"Productivity advancement has been a major contributing factor to economic growth in the postwar U.S. economy and more accurate measurement of productivity and growth will assist future industry and government decision-making activities. The proposed research address some fundamental issues related to productivity and growth in the food-manufacturing sector by focusing on the stimuli to productivity growth. By focusing on the investment patterns of Food and Kindred Products Industry, this project will
• Examine the behavior of capital adjustment patterns of plants and firms
• Examine the dynamic factor demand decisions and resource allocations of the constituent units of the firm
• Examine long-argued capital measurement problems surrounding the time series data
• Investigate implications of the empirical evidence for the shape of the adjustment cost function
• Analyze productivity changes of plants and firms under these capital adjustment cost and investment patterns
• Identify and distinguish the gains from investment spikes as indicative of the lifting the plateau to a new one that can lead to longer periods of productivity growth from the productivity gains within an investment period.
Thus this proposal intends to take the literature one step further by investigating how capital and its adjustments influence productivity. Generally, plant-level studies analyzing productivity dynamics concentrate on the overall manufacturing plants in U.S., while studies analyzing productivity issues in the Food and Kindred Products industry primarily concentrate on the aggregate level. There are currently no studies that analyze the productivity dynamics at the most disaggregated plant level, considering all product subgroups of the food-manufacturing sector. With this study, we will be able to focus on investment patterns and lumpy capital adjustment costs separately analyzing all sub-industries of the food sector, which allows us to capture extensive heterogeneity within and across industries. The Food and Kindred Products industry is an excellent candidate for investigating lumpy investment patterns as the industry has become increasingly capital-intensive, and high-tech over the past few decades in the processing, packaging, and marketing of food products (Morrison, 1997). Therefore, the data required for this research is the U.S. Census’ Longitudinal Research Database (LRD) for the years 1963-1999 containing the annual establishment level production data for the manufacturing plants and firms specifically in Food and Kindred Products Industry. 
For an accurate measurement of productivity growth, we need to consider economies of scale, productivity enhancing changes arising from factors such as experience, learning-by-doing, increased knowledge, new innovations, better techniques for producing output, measuring relative capital intensity of production technology, existence of quasi-fixity of inputs, and the adjustment cost of these factors. As capital input is a significant component of total cost, analyzing the behavior of quasi-fixed factors in the measurement of productivity is crucial, especially if the firms require massive amounts of capital in the form of plant and equipment. Therefore, confidential Census data is essential to investigate the effect of capital adjustment on productivity and to develop a method, which can control for plant and firm fixed effects in measuring the productivity at plant and firm level. This research will provide benefit to the Census Bureau by developing a new improved measure of economic growth associated with investment spikes. This methodology removes procyclical biases associated with the business cycle. Thus it has the potential to propose changes in the questionnaire design and collection methodology to improve the economic content of the information gathered by the Annual Survey of Manufacturers (ASM) and the Census of Manufacturers (CM) in the area of capital input series and total factor productivity at both the plant and firm level. By computing productivity at both levels, the researcher will be able to separately estimate both plant level productivity and firm level productivity in relation to aggregate level productivity. Previous studies have shown that aggregate growth measures may be significantly reduced when using the plant level data. Therefore the disaggregated measure of total factor productivity generated by this research will assist the Census Bureau in determining and evaluating whether the aggregation problem found in the literature is due to underlying economic forces or if it is possibly due to the questionnaire design or collection methodology.",True,,,,https://doi.org/10.1093/qje/qjaa004,https://openalex.org/W2611356021,2020.0,Oxford University Press,True,journal-article,David Autor,1514.0,Economic Growth and Productivity,"Economics, Econometrics and Finance",2025-03-25T12:36:40.962826,,,,,,Step 2 Enriched Scraping + API,,,Step 2 Original_53
56,"investigating the influence of urbanicity on employment, commuting & wage earnings among people with disabilities",Chicago,2016,2018.0,Sandy Wong,"The 1990 Americans with Disabilities Act (ADA) prohibits employment discrimination against Americans with disabilities, yet many individuals with disabilities continue to experience difficulty entering the labor market. While there is a wealth of research on the employment outcomes, wage earnings, and government program participation of people with disabilities in the U.S., there is relatively little consideration of how place of residence influences these trends. This project has three objectives: (1) to investigate the effect of urbanicity (how urban or rural a locality is) on the differential employment outcomes between people with and without disabilities; (2) to examine the influence of urbanicity and commute patterns (specifically commute time and travel mode) on the variance in wage earnings between people with and without disabilities; and (3) to analyze how urbanicity affects the degree to which Supplemental Security Income (SSI) recipients respond to survey questions related to disability. This research focuses on the working-age population (18-64 years of age) surveyed by the Census Bureau in 2000 and 2010-2014, two points in time following the enactment of the ADA. ",True,,,,https://doi.org/10.1177/0042098012448548,https://openalex.org/W2123549659,2012.0,SAGE Publishing,False,journal-article,Ingar Brattbakk,67.0,"Urban, Neighborhood, and Segregation Studies",Social Sciences,2025-03-22T06:52:09.003761,0000-0002-1633-7690,,,,,Step 2 Enriched Scraping + API,,,Step 2 Original_56
57,"geographic deregulation of u.s. banking, market selection, and economic growth",Triangle,2011,2016.0,Joel Melendez-Lugo,"This study investigates how changes in state banking laws affect firms' access to credit, asset accumulation, and economic performance. Work will focus on manufacturing firms but will also investigate how banking law changes affect other sectors of the economy. The research uses the Quarterly Survey of Plant Capacity (QPC), the Annual Survey of Manufactures (ASM), the Census of Manufactures (CMF), and the Longitudinal Business Database to analyze the effects of banking deregulation on plant-level output, employment, investment, productivity, and capital-to-labor ratios. Further, the project investigates the influence of banking deregulation on the market selection process and the reallocation of resources across manufacturing plants. The study will also use the Survey of Business Owners and the Integrated Longitudinal Business Database to provide a direct research link between credit markets and the productive sector by identifying firms that use debt to finance startup capital. This will allow the researchers to investigate whether banking deregulation affects access to credit for new businesses or the future performance and asset accumulation of borrowing firms. The research will benefit the Census Bureau by studying the quality of the data in the recently launched QPC. The researchers will compare the data in the QPC to data in the ASM and CMF, in addition to using the QPC (and it predecessor, the annual Survey of Plant Capacity Utilization) to study variation in capacity utilization rates across states. The analysis of capacity utilization variation will be performed in order to evaluate whether the QPC can be used to make inferences at the state level.  Finally, this work will benefit the Bureau by producing population estimates of how changes in state banking regulations affect firms' access to credit and asset accumulation, and how such changes influence the manufacturing sector in terms of the economic performance and input choices of plants, the reallocation of resources, and the market selection process.",True,,,,https://doi.org/10.1111/j.1540-6261.2010.01589.x,https://openalex.org/W2060032353,2010.0,Wiley,False,journal-article,Thorsten Beck,2257.0,"Banking stability, regulation, efficiency","Economics, Econometrics and Finance",2025-03-26T05:42:18.021398,0000-0002-2937-4773,,,,,Step 2 Enriched Scraping + API,,,Step 2 Original_57
67,variation in export activity across u.s. manufacturing establishments,Washington,2003,2004.0,Charles I Mead,"This project examines whether the coverage of exports in the Annual Survey of Manufacturers (ASM) systematically changes over the period of 1993-98. It does so by performing three tasks. First, it creates annual estimates of the total value of exports from the data collected in the ASM and compares these estimates over time to related statistics in the U.S. International Trade in Goods and Services (FT990) series. Second, it performs the same type of comparisons for industries in which it is believed that the quality of related FT990 estimates has declined over the period of the study. Third, it uses the ASM data to examine whether there are systematic differences in export-growth rates across different types of manufacturing establishments. Particular attention is paid to an assessment of whether the quality of the ASM data is such that it can reasonably be used to shed light on the quality of the estimates provided in the FT990 series.",True,,,,,,,,,,,,,,,,,,,,Step 2 Enriched Scraping + API,,,Step 2 Original_67
69,weighting factor development using the census of retail trade,Triangle,2018,2022.0,Satkartar Kinney,"We will investigate methods for producing weighting factors using data from the Census Bureau’s Census of Retail Trade (CRT). This research will provide insight into the quality of North American Industrial Classification System codes and corresponding sales figures for food and beverage categories in the CRT by benchmarking CRT sales figures for these categories against industry classification and product line data from external Infoscan data provided by Information Resources Inc. We will generate weighting factors for the CRT data by industry, geographic area, and year, and investigate potential methodologies for generating such weighting factors in between Economic Census years.",True,,,,https://doi.org/10.1093/qje/qjz041,https://openalex.org/W2964383261,2020.0,Oxford University Press,True,journal-article,Jan De Loecker,1336.0,Economic theories and models,"Economics, Econometrics and Finance",2025-03-26T00:28:40.103175,0000-0001-5556-2295,,,,,Step 2 Enriched Scraping + API,,,Step 2 Original_69
72,evaluating multiple file matching methodologies,CensusHQ,2016,2018.0,Andreana Able,"This project will examine a range of probabilistic multiple file matching procedures using the data sources provided by Census. These methods consider sets of records from different files simultaneously, utilizing all available information in order to estimate the probability that the various subsets of these records correspond to the same person. The results from these file matching techniques will be compared to results from current Census Bureau file matching practices.",True,,,,https://doi.org/10.1093/bioinformatics/btu170,https://openalex.org/W2131271579,2014.0,Oxford University Press,True,journal-article,Anthony Bolger,53739.0,Genomics and Phylogenetic Studies,"Biochemistry, Genetics and Molecular Biology",2025-04-02T17:41:09.767325,,,,,,Step 2 Enriched Scraping + API,,,Step 2 Original_72
74,"the residential segregation of immigrant groups in the united states, 1910-2000",Triangle,2002,2005.0,Jacob Vigdor,"The purpose of this research is to document the extent of immigrant segregation in U.S. metropolitan areas, explain the formation and dissipation of immigrant ghettos, and examine the implications of residential concentration for immigrants’ socioeconomic and developmental well-being. The project will make use of public-use Census data to compute segregation indices and statistically analyze residential location choices and individual outcomes in 1910. The project will use non-public use Census microdata to perform statistical analysis in 1990, as well as 1980 and 2000 as the data become available. This project will benefit the Census Bureau in two ways. First, the segregation data derived from this effort will complement the Bureau’s own data on residential segregation, which to this point has focused on broad racial categories rather than individual immigrant groups. Second, learning about the dynamic evolution of immigrant enclaves will assist the Bureau in planning for future Census enumerations.",True,,,,https://doi.org/10.2307/3088897,https://openalex.org/W2137527466,2002.0,SAGE Publishing,False,journal-article,John Logan,811.0,"Urban, Neighborhood, and Segregation Studies",Social Sciences,2025-03-18T10:24:57.026856,0000-0001-6605-3277,,,,,Step 2 Enriched Scraping + API,,,Step 2 Original_74
