,ProjectID,ProjectStatus,ProjectTitle,ProjectRDC,ProjectStartYear,ProjectEndYear,ProjectPI,OutputTitle,OutputBiblio,OutputType,OutputStatus,OutputVenue,OutputYear,OutputMonth,OutputVolume,OutputNumber,OutputPages,DOI,Authors,Abstract,DoiExtract,NormTitle,MatchType,Uniqueness,FuzzScores,FSRDC_related
11,,,The Gender Pay Gap and Its Determinants Across the Human Capital Distribution,,,,Ariel J. Binder & Amanda Eng & Kendall Houghton & Andrew Foote,The Gender Pay Gap and Its Determinants Across the Human Capital Distribution,,,,,,,,,,,Ariel J. Binder & Amanda Eng & Kendall Houghton & Andrew Foote,"This paper links American Community Survey data and postsecondary transcript records to examine how the gender pay gap varies across the distribution of education credentials for a sample of 2003-2013 graduates. Although recent literature emphasizes gender inequality among the most-educated, we find a smaller gender pay gap at higher education levels. Field-of-degree and occupation effects explain most of the gap among top bachelor’s graduates, while work hours and unobserved channels matter more for less-competitive bachelor’s, associate, and certificate graduates. We develop a novel decomposition of the child penalty to examine the role of children in explaining these results.",,thegenderpaygapanditsdeterminantsacrossthehumancapitaldistribution,,True,56.0,True
12,,,"Estimating the U.S. Citizen Voting-Age Population (CVAP) Using Blended Survey Data, Administrative Record Data, and Modeling: Technical Report",,,,J. David Brown & Genevieve Denoeux & Misty L. Heggeness & Carl Lieberman & Lauren Medina & Marta Murray-Close & Danielle H. Sandler & Joseph L. Schafer & Matthew Spence & Lawrence Warren & Moises Yi,"Estimating the U.S. Citizen Voting-Age Population (CVAP) Using Blended Survey Data, Administrative Record Data, and Modeling: Technical Report",,,,,,,,,,,J. David Brown & Genevieve Denoeux & Misty L. Heggeness & Carl Lieberman & Lauren Medina & Marta Murray-Close & Danielle H. Sandler & Joseph L. Schafer & Matthew Spence & Lawrence Warren & Moises Yi,"This report develops a method using administrative records (AR) to fill in responses for nonresponding American Community Survey (ACS) housing units rather than adjusting survey weights to account for selection of a subset of nonresponding housing units for follow-up interviews and for nonresponse bias. The method also inserts AR and modeling in place of edits and imputations for ACS survey citizenship item nonresponses. We produce Citizen Voting-Age Population (CVAP) tabulations using this enhanced CVAP method and compare them to published estimates. The enhanced CVAP method produces a 0.74 percentage point lower citizen share, and it is 3.05 percentage points lower for voting-age Hispanics. The latter result can be partly explained by omissions of voting-age Hispanic noncitizens with unknown legal status from ACS household responses. Weight adjustments may be less effective at addressing nonresponse bias under those conditions.",,estimatingtheuscitizenvotingagepopulation(cvap)usingblendedsurveydataadministrativerecorddataandmodeling:technicalreport,,True,54.0,True
13,,,The Characteristics and Geographic Distribution of Robot Hubs in U.S. Manufacturing Establishments,,,,Erik Brynjolfsson & Catherine Buffington & Nathan Goldschlag & J. Frank Li & Javier Miranda & Robert Seamans,The Characteristics and Geographic Distribution of Robot Hubs in U.S. Manufacturing Establishments,,,,,,,,,,,Erik Brynjolfsson & Catherine Buffington & Nathan Goldschlag & J. Frank Li & Javier Miranda & Robert Seamans,"We use data from the Annual Survey of Manufactures to study the characteristics and geography of investments in robots across U.S. manufacturing establishments. We find that robotics adoption and robot intensity (the number of robots per employee) is much more strongly related to establishment size than age. We find that establishments that report having robotics have higher capital expenditures, including higher information technology (IT) capital expenditures. Also, establishments are more likely to have robotics if other establishments in the same Core-Based Statistical Area (CBSA) and industry also report having robotics. The distribution of robots is highly skewed across establishments’ locations. Some locations, which we call Robot Hubs, have far more robots than one would expect even after accounting for industry and manufacturing employment. We characterize these Robot Hubs along several industry, demographic, and institutional dimensions. The presence of robot integrators and higher levels of union membership are positively correlated with being a Robot Hub.",,thecharacteristicsandgeographicdistributionofrobothubsinusmanufacturingestablishments,,True,61.0,True
14,,,Race and Mobility in U.S. Marriage Markets: Quantifying the Role of Segregation,,,,Ariel J. Binder & Caroline Walker & Jonathan Eggleston & Marta Murray-Close,Race and Mobility in U.S. Marriage Markets: Quantifying the Role of Segregation,,,,,,,,,,,Ariel J. Binder & Caroline Walker & Jonathan Eggleston & Marta Murray-Close,"We examine racial disparities in upward intergenerational mobility of family income by linking American Community Survey respondents born in 1978-87 to their parents’ tax records. This linkage facilitates better measurement of marriage-market processes than tax records alone. Relative to White individuals, we document lower upward mobility of partner income for Black, Hispanic, and Asian individuals. These disparities offset Asian women and men’s advantages in personal income mobility, overturn Black women’s small advantage, and compound Black men’s disadvantage. We develop a novel nonparametric decomposition which reveals that these disparities are driven primarily by racial differences in marriage-market opportunities, but also by different partnering rates conditional on opportunities. We then apply a selection-correction methodology to estimate causal effects of childhood exposure to racial segregation. Our design approximates a shift in the current generation’s segregation exposure, holding historical exposures constant. This channel generates substantial Black-White intergenerational mobility gaps across all income measures, and we show that these effects cumulate over a multigenerational horizon.",,raceandmobilityinusmarriagemarkets:quantifyingtheroleofsegregation,,True,54.0,True
16,,,"Introducing the Medical Expenditure Panel Survey-Insurance Component with Administrative Records (MEPS-ICAR): Description, Data Construction Methodology, and Quality Assessment",,,,Thomas A. Hegland & Alice Zawacki & G. Edward Miller,"Introducing the Medical Expenditure Panel Survey-Insurance Component with Administrative Records (MEPS-ICAR): Description, Data Construction Methodology, and Quality Assessment",,,,,,,,,,,Thomas A. Hegland & Alice Zawacki & G. Edward Miller,"This report introduces a new dataset, the Medical Expenditure Panel Survey-Insurance Component with Administrative Records (MEPS-ICAR), consisting of MEPS-IC survey data on establishments and their health insurance benefits packages linked to Decennial Census data and administrative tax records on MEPS-IC establishments’ workforces. These data include new measures of the characteristics of MEPS-IC establishments’ parent firms, employee turnover, the full distribution of MEPS-IC workers’ personal and family incomes, the geographic locations where those workers live, and improved workforce demographic detail. Next, this report details the methods used for producing the MEPS-ICAR. Broadly, the linking process begins by matching establishments’ parent firms to their workforces using identifiers appearing in tax records. The linking process concludes by matching establishments to their own workforces by identifying the subset of their parent firm’s workforce that best matches the expected size, total payroll, and residential geographic distribution of the establishment’s workforce. Finally, this report presents statistics characterizing the match rate and the MEPS-ICAR data itself. Key results include that match rates are consistently high (exceeding 90%) across nearly all data subgroups and that the matched data exhibit a reasonable distribution of employment, payroll, and worker commute distances relative to expectations and external benchmarks. Notably, employment measures derived from tax records, but not used in the match itself, correspond with high fidelity to the employment levels that establishments report in the MEPS-IC. Cumulatively, the construction of the MEPS-ICAR significantly expands the capabilities of the MEPS-IC and presents many opportunities for analysts.",,introducingthemedicalexpenditurepanelsurveyinsurancecomponentwithadministrativerecords(mepsicar):descriptiondataconstructionmethodologyandqualityassessment,,True,45.0,True
17,,,Comparing the 2019 American Housing Survey to Contemporary Sources of Property Tax Records: Implications for Survey Efficiency and Quality,,,,Ariel J. Binder & Emily Molfino & John Voorheis,Comparing the 2019 American Housing Survey to Contemporary Sources of Property Tax Records: Implications for Survey Efficiency and Quality,,,,,,,,,,,Ariel J. Binder & Emily Molfino & John Voorheis,"Given rising nonresponse rates and concerns about respondent burden, government statistical agencies have been exploring ways to supplement household survey data collection with administrative records and other sources of third-party data. This paper evaluates the potential of property tax assessment records to improve housing surveys by comparing these records to responses from the 2019 American Housing Survey. Leveraging the U.S. Census Bureau’s linkage infrastructure, we compute the fraction of AHS housing units that could be matched to a unique property parcel (coverage rate), as well as the extent to which survey and property tax data contain the same information (agreement rate). We analyze heterogeneity in coverage and agreement across states, housing characteristics, and 11 AHS items of interest to housing researchers. Our results suggest that partial replacement of AHS data with property data, targeted toward certain survey items or single-family detached homes, could reduce respondent burden without altering data quality. Further research into partial-replacement designs is needed and should proceed on an item-by-item basis. Our work can guide this research as well as those who wish to conduct independent research with property tax records that is representative of the U.S. housing stock.",,comparingthe2019americanhousingsurveytocontemporarysourcesofpropertytaxrecords:implicationsforsurveyefficiencyandquality,,True,49.0,True
19,,,Automation and the Workforce: A Firm-Level View from the 2019 Annual Business Survey,,,,Daron Acemoglu & Gary Anderson & David Beede & Catherine Buffington & Eric Childress & Emin Dinlersoz & Lucia Foster & Nathan Goldschlag & John Haltiwanger & Zachary Kroff & Pascual Restrepo & Nikolas,Automation and the Workforce: A Firm-Level View from the 2019 Annual Business Survey,,,,,,,,,,,Daron Acemoglu & Gary Anderson & David Beede & Catherine Buffington & Eric Childress & Emin Dinlersoz & Lucia Foster & Nathan Goldschlag & John Haltiwanger & Zachary Kroff & Pascual Restrepo & Nikolas,"This paper describes the adoption of automation technologies by US firms across all economic sectors by leveraging a new module introduced in the 2019 Annual Business Survey, conducted by the US Census Bureau in partnership with the National Center for Science and Engineering Statistics (NCSES). The module collects data from over 300,000 firms on the use of five advanced technologies: AI, robotics, dedicated equipment, specialized software, and cloud computing. The adoption of these technologies remains low (especially for AI and robotics), varies substantially across industries, and concentrates on large and young firms. However, because larger firms are much more likely to adopt them, 12-64% of US workers and 22-72% of manufacturing workers are exposed to these technologies. Firms report a variety of motivations for adoption, including automating tasks previously performed by labor. Consistent with the use of these technologies for automation, adopters have higher labor productivity and lower labor shares. In particular, the use of these technologies is associated with a 11.4% higher labor productivity, which accounts for 20–30% of the difference in labor productivity between large firms and the median firm in an industry. Adopters report that these technologies raised skill requirements and led to greater demand for skilled labor, but brought limited or ambiguous effects to their employment levels.",,automationandtheworkforce:afirmlevelviewfromthe2019annualbusinesssurvey,,True,53.0,True
24,,,Redesigning the Longitudinal Business Database,,,,Melissa Chow & Teresa C. Fort & Christopher Goetz & Nathan Goldschlag & James Lawrence & Elisabeth Ruth Perlman & Martha Stinson & T. Kirk White,Redesigning the Longitudinal Business Database,,,,,,,,,,,Melissa Chow & Teresa C. Fort & Christopher Goetz & Nathan Goldschlag & James Lawrence & Elisabeth Ruth Perlman & Martha Stinson & T. Kirk White,"In this paper we describe the U.S. Census Bureau's redesign and production implementation of the Longitudinal Business Database (LBD) first introduced by Jarmin and Miranda (2002). The LBD is used to create the Business Dynamics Statistics (BDS), tabulations describing the entry, exit, expansion, and contraction of businesses. The new LBD and BDS also incorporate information formerly provided by the Statistics of U.S. Businesses program, which produced similar year-to-year measures of employment and establishment flows. We describe in detail how the LBD is created from curation of the input administrative data, longitudinal matching, retiming of economic census-year births and deaths, creation of vintage consistent industry codes and noise factors, and the creation and cleaning of each year of LBD data. This documentation is intended to facilitate the proper use and understanding of the data by both researchers with approved projects accessing the LBD microdata and those using the BDS tabulations.",,redesigningthelongitudinalbusinessdatabase,,True,62.0,True
25,,,Advanced Technologies Adoption and Use by U.S. Firms: Evidence from the Annual Business Survey,,,,Nikolas Zolas & Zachary Kroff & Erik Brynjolfsson & Kristina McElheran & David Beede & Catherine Buffington & Nathan Goldschlag & Lucia Foster & Emin Dinlersoz,Advanced Technologies Adoption and Use by U.S. Firms: Evidence from the Annual Business Survey,,,,,,,,,,,Nikolas Zolas & Zachary Kroff & Erik Brynjolfsson & Kristina McElheran & David Beede & Catherine Buffington & Nathan Goldschlag & Lucia Foster & Emin Dinlersoz,"We introduce a new survey module intended to complement and expand research on the causes and consequences of advanced technology adoption. The 2018 Annual Business Survey (ABS), conducted by the Census Bureau in partnership with the National Center for Science and Engineering Statistics (NCSES), provides comprehensive and timely information on the diffusion among U.S. firms of advanced technologies including artificial intelligence (AI), cloud computing, robotics, and the digitization of business information. The 2018 ABS is a large, nationally representative sample of over 850,000 firms covering all private, nonfarm sectors of the economy. We describe the motivation for and development of the technology module in the ABS, as well as provide a first look at technology adoption and use patterns across firms and sectors. We find that digitization is quite widespread, as is some use of cloud computing. In contrast, advanced technology adoption is rare and generally skewed towards larger and older firms. Adoption patterns are consistent with a hierarchy of increasing technological sophistication, in which most firms that adopt AI or other advanced business technologies also use the other, more widely diffused technologies. Finally, while few firms are at the technology frontier, they tend to be large so technology exposure of the average worker is significantly higher. This new data will be available to qualified researchers on approved projects in the Federal Statistical Research Data Center network.",,advancedtechnologiesadoptionandusebyusfirms:evidencefromtheannualbusinesssurvey,,True,55.0,True
26,,,Business Dynamics on American Indian Reservations: Evidence from Longitudinal Datasets,,,,Randall Akee & Elton Mykerezi & Richard Todd,Business Dynamics on American Indian Reservations: Evidence from Longitudinal Datasets,,,,,,,,,,,Randall Akee & Elton Mykerezi & Richard Todd,"We use confidential US Census Bureau data to analyze the difference in business establishment dynamics by geographic location on or off of American Indian reservations over the period of the Great Recession, and subsequent recovery (2007-2016). We geocoded U.S. Census Bureau’s Longitudinal Business Database, a dataset with records of all employer business establishments in the U.S. for location in an American Indian Reservation and used it to examine whether there are differences in business establishment survival rates over time by virtue of their location. We find that business establishments located on American Indian reservations have higher survival rates than establishments located in comparable counties. These results are particularly strong for the education, arts and entertainment, wholesale and retail, and public administration industries. While we are not fully able to explain this result, it is consistent with the business establishments being positively selected with respect to survival given the large obstacles necessary to start a business on a reservation in the first place. Alternatively, there may be certain safeguards in a reservation economy that protect business establishments from external economic shocks.",,businessdynamicsonamericanindianreservations:evidencefromlongitudinaldatasets,,True,55.0,True
27,,,Nonemployer Statistics by Demographics (NES-D): Exploring Longitudinal Consistency and Sub-national Estimates,,,,Adela Luque & Michaela Dillon & Julia Manzella & James Noon & Kevin Rinz & Victoria Udalova,Nonemployer Statistics by Demographics (NES-D): Exploring Longitudinal Consistency and Sub-national Estimates,,,,,,,,,,,Adela Luque & Michaela Dillon & Julia Manzella & James Noon & Kevin Rinz & Victoria Udalova,"Until recently, the quinquennial Survey of Business Owners (SBO) was the only source of information for U.S. employer and nonemployer businesses by owner demographic characteristics such as race, ethnicity, sex and veteran status. Now, however, the Nonemployer Statistics by Demographics series (NES-D) will replace the SBO’s nonemployer component with reliable, and more frequent (annual) business demographic estimates with no additional respondent burden, and at lower imputation rates and costs. NES-D is not a survey; rather, it exploits existing administrative and census records to assign demographic characteristics to the universe of approximately 25 million (as of 2016) nonemployer businesses. Although only in the second year of its research phase, NES-D is rapidly moving towards production, with a planned prototype or experimental version release of 2017 nonemployer data in 2020, followed by annual releases of the series. After the first year of research, we released a working paper (Luque et al., 2019) that assessed the viability of estimating nonemployer demographics exclusively with administrative records (AR) and census data. That paper used one year of data (2015) to produce preliminary tabulations of business counts at the national level. This year we expand that research in multiple ways by: i) examining the longitudinal consistency of administrative and census records coverage, and of our AR-based demographics estimates, ii) evaluating further coverage from additional data sources, iii) exploring estimates at the sub-national level, iv) exploring estimates by industrial sector, v) examining demographics estimates of business receipts as well as of counts, and vi) implementing imputation of missing demographic values. Our current results are consistent with the main findings in Luque et al. (2019), and show that high coverage and demographic assignment rates are not the exception, but the norm. Specifically, we find that AR coverage rates are high and stable over time for each of the three years we examine, 2014-2016. We are able to identify owners for approximately 99 percent of nonemployer businesses (excluding C-corporations), 92 to 93 percent of identified nonemployer owners have no missing demographics, and only about 1 percent are missing three or more demographic characteristics in each of the three years. We also find that our demographics estimates are stable over time, with expected small annual changes that are consistent with underlying population trends in the U.S.. Due to data limitations, these results do not include C-corporations, which represent only 2 percent of nonemployer businesses and 4 percent of receipts. Without added respondent burden and at lower imputation rates and costs, NES-D will provide high-quality business demographics estimates at a higher frequency (annual vs. every 5 years) than the SBO.",,nonemployerstatisticsbydemographics(nesd):exploringlongitudinalconsistencyandsubnationalestimates,,True,50.0,True
28,,,Gender Differences in Self-employment Duration: the Case of Opportunity and Necessity Entrepreneurs,,,,Adela Luque & Maggie R. Jones,Gender Differences in Self-employment Duration: the Case of Opportunity and Necessity Entrepreneurs,,,,,,,,,,,Adela Luque & Maggie R. Jones,"A strand of the self-employment literature suggests that those “pushed” into self-employment out of necessity may perform differently from those “pulled” into self-employment to pursue a business opportunity. While findings on self-employment outcomes by self-employed type are not unanimous, there is mounting evidence that performance outcomes differ between these two self-employed types. Another strand of the literature has found important gender differences in self-employment entry rates, motivations for entry, and outcomes. Using a unique set of data that links the American Community Survey to administrative data from Form 1040 and W-2 records, we bring together these two strands of the literature. We explore whether there are gender differences in self-employment duration of self-employed types. In particular, we examine the likelihood of self-employment exit towards unemployment versus the wage sector for five consecutive entry cohorts, including two cohorts who entered self-employment during the Great Recession. Severely limited labor-market opportunities may have driven many in the recession cohorts to enter self-employment, while those entering self-employment during the boom may have been pursuing opportunities under favorable market conditions. To more explicitly test the concept of “necessity” versus “opportunity” self-employment, we also examine the wage labor attachment (or weeks worked in the wage sector) in the year prior to becoming self-employed. We find that, within the cohorts we examine, there are gender differences in the rate at which men and women depart self-employment for either wage work or non-participation, but that the patterns are dependent on pre self-employment wage-sector attachment and cohort effects.",,genderdifferencesinselfemploymentduration:thecaseofopportunityandnecessityentrepreneurs,,True,54.0,True
