"Title","Abstract","DOI","No. Researchers","Researchers","Year","RDC","Dataset Mentions","Keywords"
"A note on the multiple-recapture census","A note on the multiple-recapture census Get access G. A. F. Seber G. A. F. Seber Search for other works by this author on: Oxford Academic Google Scholar Biometrika, Volume 52, Issue 1-2, June 1965, Pages 249–260, https://doi.org/10.1093/biomet/52.1-2.249 Published: 01 June 1965","10.1093/biomet/52.1-2.249","1.0","George A. F. Seber","1965.0","","","note; recapture; census"
"IRS-1-Mediated Inhibition of Insulin Receptor Tyrosine Kinase Activity in TNF-α- and Obesity-Induced Insulin Resistance","Tumor necrosis factor-α (TNF-α) is an important mediator of insulin resistance in obesity and diabetes through its ability to decrease the tyrosine kinase activity of the insulin receptor (IR). Treatment of cultured murine adipocytes with TNF-α was shown to induce serine phosphorylation of insulin receptor substrate 1 (IRS-1) and convert IRS-1 into an inhibitor of the IR tyrosine kinase activity in vitro. Myeloid 32D cells, which lack endogenous IRS-1, were resistant to TNF-α-mediated inhibition of IR signaling, whereas transfected 32D cells that express IRS-1 were very sensitive to this effect of TNF-α. An inhibitory form of IRS-1 was observed in muscle and fat tissues from obese rats. These results indicate that TNF-α induces insulin resistance through an unexpected action of IRS-1 to attenuate insulin receptor signaling.","10.1126/science.271.5249.665","6.0","Gökhan S. Hotamışlıgil; Pascal Peraldi; Adriane I. Budavari; Ramsey Ellis; Morris F. White; Bruce M. Spiegelman","1996.0","USC","","irs; mediated; inhibition; insulin; receptor; tyrosine; kinase; activity; tnf; obesity; induced; resistance"
"Reconciling the Old and New Census Bureau Education Questions: Recommendations for Researchers","Abstract Beginning with the 1990 Census and the January 1992 Current Population Survey (CPS), the Bureau of the Census changed the emphasis of its educational-attainment question from years of education to degree receipt. Using a matched sample from the 1991 and 1992 March CPS, this article addresses how to reconcile the old and new questions. The effects of those methods on the estimated return(s) to education are then examined. Both the estimated linear return and the estimated college–high-school wage differential are slightly larger using information from the new question. KEY WORDS: Current Population SurveyReturn to educationU.S. CensusWage equations","10.1080/07350015.1997.10524708","1.0","David A. Jaeger","1997.0","","","old; new; census; bureau; education; questions; recommendations; researchers"
"Census of Agriculture","","10.1016/b978-0-08-023388-8.50015-x","1.0","N.M. IDAIKKADAR","1979.0","","","census; agriculture"
"Alzheimer disease in the United States (2010–2050) estimated using the 2010 census","To provide updated estimates of Alzheimer disease (AD) dementia prevalence in the United States from 2010 through 2050.","10.1212/wnl.0b013e31828726f5","4.0","Liesi E. Hebert; Jennifer Weuve; Paul A. Scherr; Denis A. Evans","2013.0","","","alzheimer; disease; united; states; census"
"Disruption of IRS-2 causes type 2 diabetes in mice","","10.1038/36116","12.0","Dominic J. Withers; Julio Sanchez Gutierrez; Heather Towery; Deborah J. Burks; Jianming Ren; Stephen F. Previs; Yitao Zhang; Dolores Bernal; Sebastián Pons; Gerald I. Shulman; Susan Bonner‐Weir; Morris F. White","1998.0","","","disruption; irs; type; diabetes; mice"
"United States Census Bureau","","10.4135/9781412939591.n1176","1.0","Barney Warf","2010.0","","","united; states; census; bureau"
"The 1986 census of population and housing","","10.1007/bf03041202","1.0","J. Cornish","1985.0","","","census; population; housing"
"Single-cell mRNA quantification and differential analysis with Census","","10.1038/nmeth.4150","6.0","Xiaojie Qiu; Andrew J. Hill; Jonathan S. Packer; Dejun Lin; Yi-An Ma; Cole Trapnell","2017.0","","","single; cell; mrna; quantification; census"
"A census of human transcription factors: function, expression and evolution","","10.1038/nrg2538","4.0","Juan M. Vaquerizas; Sarah Kummerfeld; Sarah A. Teichmann; Nicholas M. Luscombe","2009.0","","","census; transcription; factors; expression; evolution"
"IRS proteins and the common path to diabetes","Although a full understanding of insulin/insulin-like growth factor (IGF) action is evolving, the discovery of insulin receptor substrate (IRS) proteins and their role to link cell surface receptors to the intracellular signaling cascades provided an important step forward. Moreover, Insulin/IGF receptors use common signaling pathways to accomplish many tasks, the IRS proteins add a unique layer of specificity and control. Importantly, the IRS-2 branch of the insulin/IGF-signaling pathway is a common element in peripheral insulin response and pancreatic beta-cell growth and function. Failure of IRS-2 signaling might explain the eventual loss of compensatory hyperinsulinemia during prolonged periods of peripheral insulin resistance. Moreover, short-term inhibition of IRS protein functions by serine phosphorylation, or sustained inhibition by ubiquitin-targeted proteosome-mediated degradation suggests a common molecular mechanism for insulin resistance during acute injury or infection, or the sensitivity of beta-cells to autoimmune destruction. The broad role of IRS-1 and IRS-2 in cell growth and survival reveals a common regulatory pathway linking development, somatic growth, fertility, neuronal proliferation, and aging to the core mechanisms used by vertebrates for nutrient sensing.","10.1152/ajpendo.00514.2001","1.0","Morris F. White","2002.0","","","irs; proteins; path; diabetes"
"Tropical Forest Census Plots","","10.1007/978-3-662-03664-8","1.0","Richard Condit","1998.0","","","forest; census; plots"
"Overcoming the absence of socioeconomic data in medical records: validation and application of a census-based methodology.","Most US medical records lack socioeconomic data, hindering studies of social gradients in health and ascertainment of whether study samples are representative of the general population. This study assessed the validity of a census-based approach in addressing these problems.Socioeconomic data from 1980 census tracts and block groups were matched to the 1985 membership records of a large prepaid health plan (n = 1.9 million), with the link provided by each individual's residential address. Among a subset of 14,420 Black and White members, comparisons were made of the association of individual, census tract, and census block-group socioeconomic measures with hypertension, height, smoking, and reproductive history.Census-level and individual-level socioeconomic measures were similarly associated with the selected health outcomes. Census data permitted assessing response bias due to missing individual-level socioeconomic data and also contextual effects involving the interaction of individual- and neighborhood-level socioeconomic traits. On the basis of block-group characteristics, health plan members generally were representative of the total population; persons in impoverished neighborhoods, however, were underrepresented.This census-based methodology offers a valid and useful approach to overcoming the absence of socioeconomic data in most US medical records.","10.2105/ajph.82.5.703","1.0","Nancy Krieger","1992.0","","","absence; records; validation; census; methodology"
"Advances in Record-Linkage Methodology as Applied to Matching the 1985 Census of Tampa, Florida","Abstract A test census of Tampa, Florida and an independent postenumeration survey (PES) were conducted by the U.S. Census Bureau in 1985. The PES was a stratified block sample with heavy emphasis placed on hard-to-count population groups. Matching the individuals in the census to the individuals in the PES is an important aspect of census coverage evaluation and consequently a very important process for any census adjustment operations that might be planned. For such an adjustment to be feasible, record-linkage software had to be developed that could perform matches with a high degree of accuracy and that was based on an underlying mathematical theory. A principal purpose of the PES was to provide an opportunity to evaluate the newly implemented record-linkage system and associated methodology. This article discusses the theoretical and practical issues encountered in conducting the matching operation and presents the results of that operation. A review of the theoretical background of the record-linkage problem provides a framework for discussions of the decision procedure, file blocking, and the independence assumption. The estimation of the parameters required by the decision procedure is an important aspect of the methodology, and the techniques presented provide a practical system that is easily implemented. The matching algorithm (discussed in detail) uses the linear sum assignment model to ""pair"" the records. The Tampa, Florida, matching methodology is described in the final sections of the article. Included in the discussion are the results of the matching itself, an independent clerical review of the matches and nonmatches, conclusions, problem areas, and future work required. Key Words: Census adjustmentCensus coverage evaluationEM algorithmPostenumeration survey","10.1080/01621459.1989.10478785","1.0","Matthew A. Jaro","1989.0","Florida","","advances; record; linkage; methodology; applied; census; tampa; florida"
"A [ITAL]Hipparcos[/ITAL] Census of the Nearby OB Associations","A comprehensive census of the stellar content of the nearby OB associations is presented, based on Hipparcos positions, proper motions, and parallaxes. Moving groups are identified by combining de Bruijne's refurbished convergent point method with the `Spaghetti method' of Hoogerwerf &amp; Aguilar. Monte Carlo simulations are used to estimate the expected number of interloper field stars. Astrometric members are listed for 12 young stellar groups, out to a distance of ~650 pc. These are the 3 subgroups Upper Scorpius, Upper Centaurus Lupus and Lower Centaurus Crux of Sco OB2, as well as Vel OB2, Tr 10, Col 121, Per OB2, alpha Persei (Per OB3), Cas-Tau, Lac OB1, Cep OB2, and a new group designated as Cep OB6. The selection procedure corrects the list of previously known astrometric and photometric B- and A-type members, and identifies many new members, including a significant number of F stars, as well as evolved stars, e.g., the Wolf-Rayet stars gamma^2 Vel (Vel OB2) and EZ CMa (Col 121), and the classical Cepheid delta Cep in Cep OB6. In the nearest associations the later-type members include T Tauri objects and other pre-main sequence stars. Astrometric evidence for moving groups in the fields of R CrA, CMa OB1, Mon OB1, Ori OB1, Cam OB1, Cep OB3, Cep OB4, Cyg OB4, Cyg OB7, and Sct OB2, is inconclusive, due to their large distance or unfavorable kinematics. The mean distances of the well-established groups are systematically smaller than previous estimates. The mean motions display a systematic pattern, which is discussed in relation to the Gould Belt. Six of the 12 detected moving groups do not appear in the classical list of nearby OB associations. The number of unbound young stellar groups in the Solar neighbourhood may be significantly larger than thought previously.","10.1086/300682","5.0","P. T. de Zeeuw; R. Hoogerwerf; J. H. J. de Bruijne; A. G. A. Brown; A. Blaauw","1999.0","","","ital; hipparcos; census; nearby; ob; associations"
"Role of IRS-2 in insulin and cytokine signalling","","10.1038/377173a0","9.0","Xiao Jian Sun; Ling-Mei Wang; Yitao Zhang; Lynne Yenush; Martin G. Myers; Erin Glasheen; William S. Lane; Jacalyn H. Pierce; Morris F. White","1995.0","","","irs; insulin; cytokine; signalling"
"A Millennial Myosin Census","The past decade has seen a remarkable explosion in our knowledge of the size and diversity of the myosin superfamily. Since these actin-based motors are candidates to provide the molecular basis for many cellular movements, it is essential that motility researchers be aware of the complete set of myosins in a given organism. The availability of cDNA and/or draft genomic sequences from humans,Drosophila melanogaster, Caenorhabditis elegans, Arabidopsis thaliana,Saccharomyces cerevisiae, Schizosaccharomyces pombe, andDictyostelium discoideum has allowed us to tentatively define and compare the sets of myosin genes in these organisms. This analysis has also led to the identification of several putative myosin genes that may be of general interest. In humans, for example, we find a total of 40 known or predicted myosin genes including two new myosins-I, three new class II (conventional) myosins, a second member of the class III/ninaC myosins, a gene similar to the class XV deafness myosin, and a novel myosin sharing at most 33% identity with other members of the superfamily. These myosins are in addition to the recently discovered class XVI myosin with N-terminal ankyrin repeats and two human genes with similarity to the class XVIII PDZ-myosin from mouse. We briefly describe these newly recognized myosins and extend our previous phylogenetic analysis of the myosin superfamily to include a comparison of the complete or nearly complete inventories of myosin genes from several experimentally important organisms.","10.1091/mbc.12.4.780","3.0","Jonathan S. Berg; Bradford C. Powell; Richard E. Cheney","2001.0","","","millennial; myosin; census"
"Census and evaluation of p53 target genes","The tumor suppressor p53 functions primarily as a transcription factor. Mutation of the TP53 gene alters its response pathway, and is central to the development of many cancers. The discovery of a large number of p53 target genes, which confer p53's tumor suppressor function, has led to increasingly complex models of p53 function. Recent meta-analysis approaches, however, are simplifying our understanding of how p53 functions as a transcription factor. In the survey presented here, a total set of 3661 direct p53 target genes is identified that comprise 3509 potential targets from 13 high-throughput studies, and 346 target genes from individual gene analyses. Comparison of the p53 target genes reported in individual studies with those identified in 13 high-throughput studies reveals limited consistency. Here, p53 target genes have been evaluated based on the meta-analysis data, and the results show that high-confidence p53 target genes are involved in multiple cellular responses, including cell cycle arrest, DNA repair, apoptosis, metabolism, autophagy, mRNA translation and feedback mechanisms. However, many p53 target genes are identified only in a small number of studies and have a higher likelihood of being false positives. While numerous mechanisms have been proposed for mediating gene regulation in response to p53, recent advances in our understanding of p53 function show that p53 itself is solely an activator of transcription, and gene downregulation by p53 is indirect and requires p21. Taking into account the function of p53 as an activator of transcription, recent results point to an unsophisticated means of regulation.","10.1038/onc.2016.502","1.0","Martin Fischer","2017.0","","","census; p; target; genes"
"A Census of Human Soluble Protein Complexes","Cellular processes often depend on stable physical associations between proteins. Despite recent progress, knowledge of the composition of human protein complexes remains limited. To close this gap, we applied an integrative global proteomic profiling approach, based on chromatographic separation of cultured human cell extracts into more than one thousand biochemical fractions that were subsequently analyzed by quantitative tandem mass spectrometry, to systematically identify a network of 13,993 high-confidence physical interactions among 3,006 stably associated soluble human proteins. Most of the 622 putative protein complexes we report are linked to core biological processes and encompass both candidate disease genes and unannotated proteins to inform on mechanism. Strikingly, whereas larger multiprotein assemblies tend to be more extensively annotated and evolutionarily conserved, human protein complexes with five or fewer subunits are far more likely to be functionally unannotated or restricted to vertebrates, suggesting more recent functional innovations.","10.1016/j.cell.2012.08.011","24.0","Pierre C. Havugimana; Traver Hart; Tamás Nepusz; Haixuan Yang; Andrei L. Turinsky; Zhihua Li; Peggy I. Wang; Daniel R. Boutz; Vincent Fong; Sadhna Phanse; Mohan Babu; Stephanie A. Craig; Pingzhao Hu; Cuihong Wan; James Vlasblom; V.-u.-N. Dar; Alexandr Bezginov; Greg Clark; Gabriel C. Wu; Shoshana J. Wodak; Elisabeth R.M. Tillier; Alberto Paccanaro; Edward M. Marcotte; Andrew Emili","2012.0","","","census; human; soluble; protein; complexes"
"A Census of Planar Maps","In the series of ""Census"" papers, of which this is the fourth, we attempt to lay the groundwork of an enumerative theory of planar maps (12, 13, 14). The maps concerned are rooted in the sense that some edge is fixed as the root , and a positive sense of description and right and left sides are specified for it. This device simplifies the theory by ruling out the possibility of a map being symmetrical.","10.4153/cjm-1963-029-x","1.0","W. T. Tutte","1963.0","","","census; planar; maps"
"Population and housing census","","10.4324/9781003586524-3","2.0","Seema Jain; Madhav Shyam","2024.0","","","population; housing; census"
"A census of mammalian imprinting","","10.1016/j.tig.2005.06.008","3.0","Ian M. Morison; Joshua P. Ramsay; Hamish G. Spencer","2005.0","","","census; imprinting"
"CENSUS AND CONSENSUS IN BACTERIAL ECOSYSTEMS: The LuxR-LuxI Family of Quorum-Sensing Transcriptional Regulators","The importance of accurate demographic information is reflected in the United States Constitution, Article 1, which provides for a decennial census of this country's human population. Bacteria also conduct a census of their population and do so more frequently, more efficiently, and as far we know, with little if any of the political contentiousness caused by human demographers. Many examples have been found of particular bacterial genes, operons, or regulons that are expressed preferentially at high cell densities. Many of these are regulated by proteins related to the LuxR and LuxI proteins of Vibrio fischeri, and by a diffusible pheromone called an autoinducer. LuxR and LuxI and their cognate autoinducer (3-oxohexanoyl homoserine lactone, designated VAI-1) provide an important model to describe the functions of this family of proteins. LuxR is a VAI-1 receptor and a VAI-1–dependent transcriptional activator, and LuxI directs the synthesis of VAI-1. VAI-1 diffuses across the bacterial envelope, and intracellular concentrations of it are therefore strongly increased by nearby VAI-1–producing bacteria. Similar systems regulate pathogenesis factors in Pseudomonas aeruginosa and Erwinia spp., as well as Ti plasmid conjugal transfer in Agrobacterium tumefaciens, and many other genes in numerous genera of gram-negative bacteria. Genetic analyses of these systems have revealed a high degree of functional conservation, while also uncovering features that are unique to each.","10.1146/annurev.micro.50.1.727","3.0","Clay Fuqua; Stephen C. Winans; E. Peter Greenberg","1996.0","","Decennial Census","census; and; consensus; in; bacterial; ecosystems; luxr; luxi; family; quorum; sensing; transcriptional; regulators"
"Reconciling the Old and New Census Bureau Education Questions: Recommendations for Researchers","Beginning with the 1990 Census and the January 1992 Current Population Survey, the Bureau of the Census changed the emphasis of its educational attainment question from years of education to degree receipt. Using a matched sample from the 1991 and 1992 March CPS, this paper addresses how to reconcile the old and new questions. The effects of those methods on the estimated return(s) to education are then examined. Both the estimated linear return and the estimated college-high school wage differential are slightly larger using information from the new question.","10.2307/1392334","1.0","David A. Jaeger","1997.0","","","old; new; census; bureau; education; questions; recommendations; researchers"
"The COSMIC Cancer Gene Census: describing genetic dysfunction across all human cancers","","10.1038/s41568-018-0060-1","6.0","Zbysław Sońdka; Sally Bamford; Charlotte G. Cole; Sari Ward; Ian Dunham; Simon Forbes","2018.0","","","cosmic; cancer; gene; census; dysfunction; cancers"
"Status of the Microbial Census","SUMMARY Over the past 20 years, more than 78,000 16S rRNA gene sequences have been deposited in GenBank and the Ribosomal Database Project, making the 16S rRNA gene the most widely studied gene for reconstructing bacterial phylogeny. While there is a general appreciation that these sequences are largely unique and derived from diverse species of bacteria, there has not been a quantitative attempt to describe the extent of sequencing efforts to date. We constructed rarefaction curves for each bacterial phylum and for the entire bacterial domain to assess the current state of sampling and the relative taxonomic richness of each phylum. This analysis quantifies the general sense among microbiologists that we are a long way from a complete census of the bacteria on Earth. Moreover, the analysis indicates that current sampling strategies might not be the most effective ones to describe novel diversity because there remain numerous phyla that are globally distributed yet poorly sampled. Based on the current level of sampling, it is not possible to estimate the total number of bacterial species on Earth, but the minimum species richness is 35,498. Considering previous global species richness estimates of 10 7 to 10 9 , we are certain that this estimate will increase with additional sequencing efforts. The data support previous calls for extensive surveys of multiple chemically disparate environments and of specific phylogenetic groups to advance the census most rapidly.","10.1128/mmbr.68.4.686-691.2004","2.0","Patrick D. Schloss; Jo Handelsman","2004.0","","","status; microbial; census"
"The Atlantic Slave Trade: A Census.","Curtin combines modern research and statistical methods with his broad knowledge of the field to present the first book-length quantitative analysis of the Atlantic slave trade. Its basic evidence suggests revision of currently held opinions concerning the place of the slave trade in the economies of the Old World nations and their colonies. Curtin s work will not only be the starting point for all future research on the slave trade and comparative slavery, but will become an indispensable reference for anyone interested in Afro-American studies. Journal of History Curtin has produced a stimulating monograph, the product of immaculate scholarship, against which all past and future studies will have to be judged. Journal of Studies Professor Curtin s new book is up to his customary standard of performance: within the limits he set for himself, The Atlantic Slave Trade could hardly be a better or more important book. American Historical Review","10.2307/2206310","2.0","Peter Duignan; Philip D. Curtin","1970.0","","","atlantic; slave; trade; a; census"
"Census of medicinal plants of Benin.","Data on medicinal plants of Benin.","10.15468/p4cwmb","2.0","Armand Kingbo; Paterne Kiki","2019.0","","","census; plants; benin"
"Phosphatidylinositol 3′-kinase is activated by association with IRS-1 during insulin stimulation.","","10.1002/j.1460-2075.1992.tb05426.x","10.0","Jonathan Backer; Martin G. Myers; Steven E. Shoelson; Daniel J. Chin; Xiao‐Jian Sun; Montserrat Miralpeix; Patrick J Hu; Ben Margolis; E. Y. Skolnik; Joseph Schlessinger","1992.0","","","phosphatidylinositol; kinase; association; irs; insulin; stimulation"
