title,abstract,source,is_fsrdc
Estimating Capacity Utilization from Survey Data,"In this paper, we review the history and concepts behind the Federal Reserve&amp;amp;amp;#x27;s measures of capacity and capacity utilization, summarize the methods used to construct the measures, and describe the principal source data for these measures--the Census Bureau&amp;amp;amp;#x27;s Survey of Plant Capacity. We show that the aggregate manufacturing utilization rate from the Survey of Plant Capacity does not exhibit the &amp;amp;amp;quot;cyclical bias&amp;amp;amp;quot; possessed by utilization rates from the less statistically rigorous utilization rate surveys previously used to estimate the Federal Reserve&amp;amp;amp;#x27;s measures. At the detailed industry level, utilization rates from the Survey of Plant Capacity for several industries do appear to possess a cyclical bias, but we demonstrate that this bias is removed in the construction of the Federal Reserve capacity measures. We further show that the Federal Reserve measures, by combining the Census survey utilization rates with other indicators of capacity, do not discard significant information contained in the Census rates. In fact, the Federal Reserve procedures add to the predictive content of the Census utilization rates in models of capital spending, capacity expansion, and changes in price inflation.",step2,True
A Study On the Determinants of Race and Ethnicity in Trust in Elections,"This registration presents a pre-analysis plan for a study on the determinants of trust in elections by racial and ethnic minorities using messages produced by non-partisan election officials in the United States. We will test the effectiveness of these messages using a survey experiment after the 2024 American Presidential Election in November 2024. The study will test the effectiveness of messaging produced by election officials with different factors. First, we aim to understand if consistent messaging delivered by messengers of different races is more or less effective at increasing levels of trust among members of minoritized communities. Second, we aim to understand if different messaging delivered by the same election official is more or less effective at increasing levels of trust among members of minoritized communities. The survey will also include a second experiment on poll watchers to test the level of confidence that respondents have in the election based on a hypothetical polling location. The conjoint survey experiment examines the effect of randomly assigned attributes of polling locations to determine what causes a lack of voter confidence, including the implied race (through names) and partisanship of poll watchers. Furthermore, we plan to conduct a regression discontinuity in time (RDiT) to measure “winner effects”: we will gather half of the sample immediately after the election (when we expect that the presidential contest results will be uncertain) and the second half after the Associated Press projects a winner.",step2,True
Structure and Demographic Correlates of Individual Trait Responses to Emotions,"The purpose of this study is to determine the empirical relationships among trait responses to emotion (e.g., control, approach, escape, and avoidance) using a large, diverse sample. The first aim of this study is to develop a multidimensional model of the empirical relationships among trait responses to emotion to characterize their relationships. The second aim includes exploring the correlations between each individual’s dimension scores and demographic variables such as age, gender, early socioeconomic context (SEC), and early life experiences. 

AMENDMENT: Please note an error in wording in the Variables section, found on 2/25/20 at 4:27 pm EST, for the SEC variable. Rather than saying ""We will then utilize publicly available data from Social Explorer, a website that provides access to United States census data, to look at county-specific demographic information (i.e., population, percent unemployed, median household income) to assess early life SEC"", this section should say that ""We will then utilize publicly available data from Social Explorer, a website that provides access to United States census data, to look at county-specific demographic information (i.e., percent unemployed, median household income, and education) to assess early life SEC"" since education, not population, is necessary for analyzing SEC. This error in wording was found prior to any data analysis taking place.",step2,True
ECONOMIC CHANGE AND SPECIALIZATION IN INDIA'S CITIES,"Urban areas contribute to nearly two‐thirds of India's gross domestic product, but only constitute 31% of the country's population. In this paper, I address the following questions: What are the specializations of Indian cities and towns, and how have these changed over time; and what part of the specialization identified is a result of local advantages versus industry or national economic growth? Answers to these questions are basic to sustaining the competitiveness of India's cities. I used standard Census of India data at city level to compute location quotients for India's cities and towns, and examined changes in their economic base over time. Further, I performed shift‐share analyses for selected large cities to disaggregate their employment growth. On average, over 1991–2001, specialization in all sectors, with the exception of trade, decreased. I found evidence of persistence in the sectoral specialization of Indian cities during 1991–2001. Further, in all non‐agricultural economic sectors, cities in states know to be backward and lagging are specialized in most sectors. Based on location quotient analyses, I find that Mumbai is the financial capital of the country, Delhi is the seat of public administration, and Bengaluru specializes in transport, storage, and communications.",step2,True
Do Cities and Counties Attempt to Circumvent Changes in their Autonomy by Creating Special Districts?,"This study uses forty years of data from the US Census of Governments to examine the impact of changes in local autonomy on the creation of the fastest growing form of local governments, special districts. Using fixed effects regression specified at the urban county and metropolitan statistical area level, we find that restrictions of fiscal autonomy of cities is associated with creation of new special districts. When the limits on fiscal autonomy interacts with grants of functional autonomy, amplification occurs. We find no analogous effects for county governments. These two findings are consistent with the circumvention argument made in the local autonomy literature.",step2,True
Speak up and dribble: an investigation of the political and business impacts of WNBA players’ activism,"This survey experiment will be the first one, to my knowledge, to explore the effect of women’s athletes speaking out on political issues. The question I aim to look at is whether WNBA players’ activism can change people’s attitudes on the political issues they are talking about, and how their convincing power compare to male athletes’. I will also look at the effect the activism has on the perceptions of the leagues and women’s sports in general. I expect different convincing rates, and even different directions (direction of the players’ advocacy or backlash) based on respondents’ key demographics (gender, political orientation, sexual orientations, education).",step2,True
Dynamic programming model estimates of Social Security Disability Insurance application timing,"Abstract This paper develops a dynamic programming model of the Social Security Disability Insurance (SSDI) application timing decision. We estimate time to from point at which health condition first begins affect kind or amount work that currently employed person can do. use Health and Retirement Study (HRS) restricted access earnings data for estimation. Our results show type work‐limiting condition, presence employer accommodation, relative value income in state significantly SSDI application. Copyright © 2004 John Wiley &amp; Sons, Ltd.",step2,True
Domestic Violence Risk Assessment Tools Suitable for use by Australian Homelessness Services with First Nations Clients: A Scoping Review,"Identifying who is at risk of inflicting harm and who are potential victims is vital for addressing the rampant prevalence of domestic and family violence (DFV) in Australia (Meyer et al., 2023). As DFV is the primary reason women and children leave their homes (Australian Institute of Health and Welfare, 2022), it seems imperative that homelessness services are aware of the level of danger posed to women so they can be prioritised for housing and referred to specialist DFV services. Further, homelessness services may interact with DFV perpetrators. Identification of potential perpetrators can dictate the necessity of safety measures implementation. To achieve this, staff at homelessness centres should have access to empirically supported DFV risk assessment tools. This scoping review will assess which risk assessment tool would suit Australian homelessness service providers, including those with First Nations clients.",step2,True
Spatial Dependency in Employment Growth in NC Counties,"Economic impact analysis has a significant role in policy making for the governments. It can
increase/decrease the economic opportunities for the residents of each area. Many researchers have
been studying the effect of employment growth in different regions on increasing/decreasing of
employment opportunities in other regions in close proximity.
In this project, I will study whether employment growth in one county can affect activities in
adjacent counties within the state of North Carolina. In other words, I want to explore whether
growing counties are close to each other or not by using spatial autocorrelation techniques.
The unit of analysis of this research is counties in NC. I use percentage change in employment of
each county between 2010 and 2015 data, collected from BEA website to test my hypothesis.",step2,True
Technology and demand for skilled labor in Turkish private manufacturing industries,"This paper examines the relationship between technology and demand for skilled labor both historically and empirically. First, it is pointed out that the Industrial Revolution substituted skilled labor with unskilled labor since it has a de-skilling characteristic. Second, the skill-bias feature of Information and Communication Technologies Revolution is suggested. Finally, the effect of technological progress on the demand for skilled labor is tested for Turkish Private Manufacturing Industries. According to the static panel data estimation results, there is a positive but weak relationship between technological progress and demand for skilled labor.",step2,True
The Organization of Knowledge-Intensive Production: Hierarchies and Specialization in Legal Services,"What role do hierarchies play with respect to the organization of production and what factors determine their structure? Despite hierarchies’ pervasiveness in economy, there has been little or no systematic empirical work on these issues. This paper examines issues, focusing legal services United States. We first provide some stylized facts discuss how they cannot be accommodated within several existing views hierarchies. then develop an equilibrium model which is permit vertical specialization, enabling experts specialize problems have a comparative advantage addressing. test propositions from theory using unique data set: confidential thousands law offices 1992 Census Services. Our results are consistent view that help exploit increasing returns associated human capital.",step2,True
Long Run Effects of Welfare Reform Experiments,"This project is a long term follow-up of two Randomized Controlled Trials (RCT) of welfare reform experiments. This includes the Portland NEWWS project with 5,547 welfare recipients assigned to a treatment (welfare reform) and control (pre-existing AFDC program) group and Connecticut Jobs First project of about 4,800 applicants and recipients assigned to a treatment (Jobs First) and control (AFDC) group. This project is part of the MDRC Learning from Administrative Data (LAD) Project and uses administrative data available through the Census to examine long run impacts on the original participants and their children.",step2,True
Evaluation of Electronic Commerce Adoption within SMEs,"The exponential growth that has recently characterized the diffusion of electronic commerce (EC) applications could lead companies of any size to plan new investments, in order to compete in an increasingly dynamic market. The first business experiences show that EC should be considered a competitive instrument not simply affecting economic transactions, but significantly influencing the business organizational structure and strategic objectives. Although this issue has recently been object of considerable attention, the research on the evaluation of EC adoption for Small and Medium Enterprises (SMEs) is still relatively new. This chapter aims at supporting SMEs in choosing the most suitable EC approach according to their peculiarities and strategic goals. First, it identifies five EC approaches supporting different business activities. Then, it describes the business variables involved in any EC project and identifies four SME profiles characterized by different values of these variables. Finally, a cross analysis between EC approaches and SME profiles allows developing a framework suggesting the most suitable EC solution for each business profile.",step2,True
"Immigrant residential segregation in U.S. metropolitan areas, 1990–2000","AbstractThis paper examines the extent of spatial assimilation among immigrants of different racial and ethnic origins. We use restricted data from the 1990 and 2000 censuses to calculate the levels of dissimilarity by race and Hispanic origin, nativity, and year of entry, and then run multivariate models to examine these relationships. The findings provide broad support for spatial assimilation theory. Foreign-born Hispanics, Asians, and blacks are more segregated from native-born non-Hispanic whites than are the U.S.-born of these groups. The patterns for Hispanics and Asians can be explained by the average characteristics of the foreign-born that are generally associated with higher levels of segregation, such as lower levels of income, English language ability, and homeownership. We also find that immigrants who have been in the United States for longer periods are generally less segregated than new arrivals, and once again, much of this difference can be attributed to the characteristics of immigrants. However, patterns also vary across groups. Levels of segregation are much higher for black immigrants than for Asian, Hispanic, and white immigrants. In addition, because black immigrants are, on average, of higher socioeconomic status than native-born blacks, such characteristics do not help explain their very high levels of segregation.",step2,True
Improving access to digital historical census boundaries in Canada,"Historical census boundary datasets are invaluable resources for mapping and analyzing demographics over space and time. In Canada, finding and using historical census boundary data can be a little difficult. Statistics Canada makes tabular census data available online for the 2011, 2006, 2001, and 1996 Censuses, with some summary profile tables available back to 1991. For boundary files however, fewer censuses are accessible, with only 2011, 2006, and 2001 available online. Today, access to the older collections is typically mediated by Statistics Canada, or academic libraries who have access through the Data Liberation Initiative (DLI) program. Given that the data from these earlier years are not readily available online publically, it prevents researchers from easily accessing and using them. In addition, for some of the older censuses, the digital spatial data are stored in archaic data formats which present challenges for use in modern Geographic Information Systems (GIS).

In the fall of 2015, Scholars Portal and the University of Toronto Map and Data Library embarked on a project to bring together the dispersed collection of digital census geography datasets and make them available online so they can be easily accessed by researchers, students, and the general public. This project makes data and documentation available openly through the Ontario Council of University Libraries (OCUL) Scholars GeoPortal platform (http://geo.scholarsportal.info). In making the collection available online openly and all in one place, these datasets will be shared and reused more effectively, thus reducing barriers and duplication for researchers everywhere.

This paper outlines the current status of census boundary datasets in Canada and then details our work which includes collecting known datasets from a variety of sources, data conversion, composing a comprehensive set of metadata, and providing online access to the collection. We also compiled an extensive inventory of all known boundaries produced in order to keep track of the collection as well as assess any gaps to help plan future digitization projects. We hope that this work is utilized and shared with others so that more attention is given to this important historical GIS collection.",step2,True
2010 American Community Survey Match Study,"Using administrative records data from federal government agencies and commercial sources,
the 2010 ACS Match Study measures administrative records coverage of 2010 ACS addresses,
persons, and persons at addresses at different levels of geography as well as by demographic
characteristics and response mode. The 2010 ACS Match Study represents a continuation of the
research undertaken in the 2010 Census Match Study, the first national‐level evaluation of
administrative records data coverage.
Preliminary results indicate that administrative records provide substantial coverage for
addresses and persons in the 2010 ACS (92.7 and 92.1 percent respectively), and less extensive
though substantial coverage, for person‐address pairs (74.3 percent). In addition, some
variation in address, person and/or person‐address coverage is found across demographic and
response mode groups. This research informs future uses of administrative records in survey
and decennial census operations to address the increasing costs of data collection and declining
response rates.",step2,True
Coverage and Agreement of Administrative Records and 2010 American Community Survey Demographic Data,"The U.S. Census Bureau is researching possible uses of administrative records in decennial census and survey operations. The 2010 Census Match Study and American Community Survey (ACS) Match Study represent recent efforts by the Census Bureau to evaluate the extent to which administrative records provide data on persons and addresses in the 2010 Census and 2010 ACS. The 2010 Census Match Study also examines demographic response data collected in administrative records. Building on this analysis, we match data from the 2010 ACS to federal administrative records and third party data as well as to previous census data and examine administrative records coverage and agreement of ACS age, sex, race, and Hispanic origin responses. We find high levels of coverage and agreement for sex and age responses and variable coverage and agreement across race and Hispanic origin groups. These results are similar to findings from the 2010 Census Match Study.",step2,True
Individual market underwriting profitability in health insurance,"We analyze the underwriting performance of insurers operating in the individual health insurance market from 2010-2017. Our sample consists of both life and health insurance companies. First, we offer descriptive sample statistics of key financial performance measures in this market. Then, we study the difference in performance pre- and post-2014, which represents the year that state online marketplace exchanges were implemented as part of significant health care reform, namely the federal Affordable Care Act (ACA). Our analysis allows us to test whether health care reform affected insurers operating in this market and in what ways. Our results suggest that underwriting profitability was worse in the post-ACA period: Generally, loss ratios and losses per enrollee were significantly higher in the post-reform time period. On the other hand, insurer administrative expenses were significantly lower post-2014. Furthermore, we show that these effects are not uniform across all insurers in the market.",step2,True
"Diversification, vertical integration, and industry analysis: New perspectives and measurement","Abstract Vertical integration, diversification, and industry analysis are fundamental topics in strategic management content research. We develop the conceptualization of these issues by exploring their nature as well correct measurement. Toward ends, we conduct an extensive COMPUSTAT II data base TRINET all three research contexts. In addition to two bases, also evaluate Census Manufacturers, S&amp;P's Financial Dynamics , Industry Surveys Dun Bradstreet's Norms Key Business Ratios for purposes analysis. Important contributions include our identification potential 11 distinguish within‐stage forward backward vertical between‐stage recommendations protection integrity studies based on COMPUSTA T bases.",step2,True
"Economic Growth, Labor Market Segmentation, and Labor Productivity","This chapter examines economic growth, labor market segmentation, informal employment, and labor productivity in Indonesia from 1990-2015. It shows four important facts. First, Indonesia was ever among countries in Southeast Asia with the highest economic growth before the country was severely hit by the Asian financial crisis in 1997/98. In 1999, the country started to recover, and since then, the economy has performed exceptionally well until these days. Second, total employment increased continuously, although as a percentage of total labor force, it tends to decline. Second, total labor productivity also continued to increase. Third, employment is still dominated by the informal sector. This chapter also discusses labor market policy in Indonesia. This chapter concludes that there are many factors that simultaneously determine directly or indirectly the growth of labor productivity, including good macroeconomic management and effective labor market policies. ",step2,True
